Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,9.77,9.75,5.07,9.63,0,,,,,,,,
50,9.9,9.87,5.5,9.93,0,,,,,,,,
75,10.04,10.01,6.06,10.23,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,8.33,5.15,4.76,9.41,0,not valid frame,not valid frame,157,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,8.33,5.01,6.91,7.94,0,not valid frame,not valid frame,157,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,8.33,5.96,6.91,7.94,0,not valid frame,not valid frame,157,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,8.33,6.77,4.87,8.34,0,1193,942,157,12,1,1,60687,587638
0.03,9.55,5.58,4.87,8.34,0,1205,942,0,12,1,1,60687,587782
0.04,9.39,9.45,6,8.1,0,1196,940,157,12,1,1,60687,587706
0.05,9.45,9.41,5.46,9.62,0,1394,966,0,12,1,1,60687,613486
0.06,9.56,9.45,5.58,9.44,0,1336,938,157,12,1,1,60687,599394
0.07,9.54,9.36,5.55,9.7,0,1336,938,0,12,1,1,60687,599394
0.08,9.53,9.67,5.52,9.25,0,1340,938,0,12,1,1,60687,599500
0.09,9.45,9.43,5.52,9.69,0,1341,940,157,12,1,1,60687,599492
0.1,9.49,9.48,5.66,9.56,0,1337,938,156,12,1,1,60687,599464
0.11,9.39,9.41,5.41,9.1,0,1383,967,156,12,1,1,60687,608852
0.12,9.54,9.45,5.58,9.7,0,1329,936,0,12,1,1,60687,599156
0.13,9.46,9.47,5.5,9.54,0,6032624,966,157,12,1,1,60687,1391
0.14,9.53,9.46,5.43,9.15,0,1344,939,157,12,1,1,60687,600396
0.15,9.39,9.42,5.55,9.76,0,1344,939,157,12,1,1,60687,600396
