Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
0.9,19.25,15.46,4.59,14.52,0,395,30,14,237,not valid frame,1,14878,30170
0.92,11.41,18.24,4.71,19.24,0,395,30,0,237,not valid frame,1,14878,30170
0.93,11.59,11.56,4.56,11.35,0,395,30,0,237,not valid frame,1,14878,30170
0.94,11.73,11.55,4.66,11.75,0,395,30,0,237,not valid frame,1,14878,30170
0.95,15.82,11.66,4.78,11.72,0,395,30,0,237,not valid frame,1,14878,30170
0.97,15.1,16.71,4.62,15.79,0,395,30,14,237,not valid frame,1,14878,30170
0.98,11.54,14.17,4.62,15.13,0,395,30,14,237,not valid frame,1,14878,30170
1,11.3,11.57,4.57,11.46,0,395,30,0,237,not valid frame,1,14878,30170
1.01,11.02,11.25,4.6,11.36,0,395,30,14,237,not valid frame,1,14878,30170
1.02,11.3,11.02,4.69,11.03,0,395,30,14,237,not valid frame,1,14878,30170
1.03,11.47,11.45,4.48,11.27,0,396,30,14,237,not valid frame,1,14878,30182
1.04,13.82,11.34,4.57,11.49,0,395,30,0,237,not valid frame,1,14878,30170
1.06,17.09,14.64,4.66,13.78,0,395,30,14,237,not valid frame,1,14878,30170
1.07,11.59,16.33,4.71,17.16,0,395,30,14,237,not valid frame,1,14878,30170
1.08,11.07,11.46,4.63,11.64,0,395,30,14,237,not valid frame,1,14878,30170
1.09,11.46,11.3,4.69,11.64,0,395,30,14,237,not valid frame,1,14878,30170
1.11,11.29,11.32,4.54,10.74,0,396,30,0,237,not valid frame,1,14878,30182
1.12,11.33,11.25,4.91,11.36,0,396,30,14,237,not valid frame,1,14878,30182
1.13,18.58,11.69,4.97,11.3,0,395,30,14,237,not valid frame,1,14878,30170
1.15,16.31,19.03,4.62,18.39,0,395,30,14,237,not valid frame,1,14878,30170
1.16,11.5,15.65,4.55,16.43,0,395,30,15,237,not valid frame,1,14878,30170
1.18,13.3,11.4,4.87,11.5,0,1781648,32,15,237,not valid frame,1,15278,397
1.19,11.32,13.26,4.89,13.37,0,1781648,32,0,237,not valid frame,1,15278,397
1.2,11.52,11.43,4.61,11.28,0,1782672,32,0,237,not valid frame,1,15278,398
1.21,11.62,11.39,4.9,11.84,0,1784720,32,14,237,not valid frame,1,15278,399
1.22,11.55,11.67,4.67,11.34,0,396,30,0,237,not valid frame,1,14878,30182
1.23,11.46,11.61,4.92,11.56,0,396,30,0,237,not valid frame,1,14878,30182
1.25,11.72,11.35,4.63,11.41,0,396,30,0,237,not valid frame,1,14878,30182
1.26,11.35,11.74,4.54,11.72,0,396,30,14,237,not valid frame,1,14878,30182
1.27,11.75,11.35,4.7,11.39,0,397,30,0,237,not valid frame,1,14878,30194
1.28,11.56,11.75,4.61,11.73,0,396,30,14,237,not valid frame,1,14878,30182
1.29,11.79,11.64,4.76,11.55,0,396,30,14,237,not valid frame,1,14878,30182
1.3,11.64,11.7,4.67,11.82,0,396,30,14,237,not valid frame,1,14878,30182
1.32,11.26,11.58,4.61,11.61,0,396,30,14,237,not valid frame,1,14878,30182
1.33,18.06,11.47,4.69,11.29,0,396,30,14,237,not valid frame,1,14878,30182
1.35,18.84,18.73,4.77,18.35,0,396,30,14,237,not valid frame,1,14878,30182
1.36,13.25,18.88,4.57,18.46,0,396,30,0,237,not valid frame,1,14878,30182
1.38,18.47,12.63,5.07,13.44,0,396,30,14,237,not valid frame,1,14878,30182
1.4,12.87,19.24,3.87,18.18,0,396,30,14,237,not valid frame,1,14878,30182
1.41,11.29,11.82,4.83,13.01,0,396,30,14,237,not valid frame,1,14878,30182
1.42,11.48,11.29,4.7,11.35,0,396,30,0,237,not valid frame,1,14878,30170
1.43,11.75,11.57,4.57,11.39,0,396,30,0,237,not valid frame,1,14878,30170
1.44,19.63,11.62,4.7,11.77,0,396,30,14,237,not valid frame,1,14878,30170
1.46,18.82,20.63,6.5,19.55,0,396,30,14,237,not valid frame,1,14878,30170
1.48,14.58,18.65,4.51,18.83,0,396,30,14,237,not valid frame,1,14878,30170
1.5,11.67,13.92,4.6,14.65,0,396,30,14,237,not valid frame,1,14878,30170
1.51,11.32,11.45,4.62,11.74,0,396,30,14,237,not valid frame,1,14878,30170
1.52,11.4,11.36,4.7,11.28,0,396,30,0,237,not valid frame,1,14878,30170
1.53,11.09,11.47,4.67,11.37,0,396,30,14,237,not valid frame,1,14878,30170
1.54,11.26,11.04,4.6,11.09,0,396,30,0,237,not valid frame,1,14878,30170
1.55,18.52,11.57,4.66,11.3,0,396,30,14,237,not valid frame,1,14878,30170
1.57,14.63,19.34,4.67,18.45,0,396,30,14,237,not valid frame,1,14878,30170
1.59,22.2,13.45,4.69,14.6,0,396,30,14,237,not valid frame,1,14878,30170
1.61,18.9,23.18,6.65,22.28,0,396,30,0,237,not valid frame,1,14878,30170
1.63,16.41,19.07,4.7,18.85,0,396,30,14,237,not valid frame,1,14878,30170
1.64,11.28,15.34,4.84,16.45,0,396,30,0,237,not valid frame,1,14878,30170
1.65,11.47,11.39,4.67,11.26,0,396,30,0,237,not valid frame,1,14878,30170
1.67,11.33,11.38,4.54,11.46,0,397,30,0,237,not valid frame,1,14878,30182
1.68,18.6,11.69,4.64,11.35,0,396,30,0,237,not valid frame,1,14878,30170
1.7,12.79,19.21,4.84,18.51,0,396,30,0,237,not valid frame,1,14878,30170
1.71,11.35,11.76,4.64,12.86,0,396,30,14,237,not valid frame,1,14878,30170
1.72,11.88,11.48,4.75,11.39,0,396,30,14,237,not valid frame,1,14878,30170
1.73,11.49,11.75,4.55,11.81,0,397,30,14,237,not valid frame,1,14878,30182
1.74,11.45,11.47,4.86,11.56,0,396,30,0,237,not valid frame,1,14878,30170
1.76,11.65,11.58,4.65,11.41,0,397,30,0,237,not valid frame,1,14878,30182
1.77,11.34,11.62,4.58,11.6,0,397,30,0,237,not valid frame,1,14878,30182
1.78,11.73,11.34,4.71,11.81,0,396,30,14,237,not valid frame,1,14878,30170
1.79,11.73,11.84,4.68,11.32,0,396,30,14,237,not valid frame,1,14878,30170
1.8,11.3,11.56,4.75,11.72,0,396,30,14,237,not valid frame,1,14878,30170
1.81,11.48,11.3,4.5,11.25,0,396,30,14,237,not valid frame,1,14878,30170
1.82,19.04,12.58,4.73,11.52,0,396,30,14,237,not valid frame,1,14878,30170
1.84,13.81,18.89,5.5,19.03,0,396,30,14,237,not valid frame,1,14878,30170
1.86,11.05,12.84,4.82,13.87,0,396,30,0,237,not valid frame,1,14878,30170
1.87,11.49,11.01,4.72,10.96,0,396,30,0,237,not valid frame,1,14878,30170
1.88,11.23,11.45,4.46,11.49,0,396,30,0,237,not valid frame,1,14878,30170
1.89,11.4,11.31,4.63,11.32,0,396,30,0,237,not valid frame,1,14878,30170
1.9,11.16,11.38,4.71,11.39,0,396,30,0,237,not valid frame,1,14878,30170
1.91,11.26,11.2,4.47,11.08,0,396,30,0,237,not valid frame,1,14878,30170
1.92,11.66,11.37,4.54,11.32,0,396,30,0,237,not valid frame,1,14878,30170
1.94,11.22,11.44,4.74,11.69,0,396,30,0,237,not valid frame,1,14878,30170
1.95,18.49,11.55,4.42,11.14,0,397,30,14,237,not valid frame,1,14878,30182
1.97,14.05,20.87,4.41,18.4,0,396,30,14,237,not valid frame,1,14878,30170
1.98,11.14,11.34,6.41,14.05,0,396,30,0,237,not valid frame,1,14878,30170
1.99,11.85,11.39,4.7,11.32,0,394,28,0,237,not valid frame,1,14854,30146
2,19.34,12.43,4.7,11.86,0,394,28,0,237,not valid frame,1,14854,30146
2.02,14.57,19.65,4.64,19.23,0,395,28,0,237,not valid frame,1,14854,30146
2.04,11.63,13.52,4.59,14.56,0,395,28,0,237,not valid frame,1,14854,30146
2.05,11.31,11.67,4.54,11.64,0,395,28,0,237,not valid frame,1,14854,30146
2.06,11.68,11.52,4.59,11.41,0,394,28,13,237,not valid frame,1,14854,30146
2.07,12.01,11.52,4.59,11.62,0,395,28,0,237,not valid frame,1,14854,30158
2.08,18.81,12.31,4.56,12.07,0,395,28,0,237,not valid frame,1,14854,30158
2.1,18.01,19.23,4.62,18.8,0,392,26,0,237,not valid frame,1,14726,30030
