Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,9.16,9.17,3.08,9.02,0,,,,,,,,
50,9.34,9.35,3.43,9.36,0,,,,,,,,
75,9.53,9.54,3.68,9.71,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
0.61,9.28,8.78,2.51,8.87,0,352,30,14,237,not valid frame,1,14878,30166
0.62,8.79,9.23,2.5,8.75,0,352,30,14,237,not valid frame,1,14878,30166
0.62,8.82,8.8,2.55,9.48,0,352,30,14,237,not valid frame,1,14878,30166
0.63,8.86,8.93,2.51,8.57,0,352,30,0,237,not valid frame,1,14878,30166
0.64,8.83,8.74,2.61,8.99,0,352,30,15,237,not valid frame,1,14878,30166
0.65,8.93,8.82,2.58,9.25,0,705040,32,0,237,not valid frame,1,15278,354
0.66,9.45,9.56,2.59,8.34,0,706064,32,15,237,not valid frame,1,15278,354
0.67,8.98,9.02,2.62,9.46,0,708112,32,15,237,not valid frame,1,15278,354
0.68,8.68,8.76,2.57,8.82,0,708112,32,15,237,not valid frame,1,15278,354
0.69,9.88,8.74,2.55,9.2,0,354,32,0,237,not valid frame,1,15278,30566
0.7,9.71,10.12,2.56,8.39,0,354,32,0,237,not valid frame,1,15278,30566
0.71,8.79,9.46,2.53,10.14,0,355,32,14,237,not valid frame,1,15278,30578
0.72,8.97,8.82,2.52,9.64,0,352,30,14,237,not valid frame,1,14878,30178
0.72,8.68,8.93,2.49,8.84,0,352,30,14,237,not valid frame,1,14878,30178
0.73,8.95,8.83,2.52,8.88,0,352,30,0,237,not valid frame,1,14878,30178
0.74,8.76,8.81,2.51,8.83,0,353,30,14,237,not valid frame,1,14878,30190
0.75,8.81,8.72,2.55,9.22,0,352,30,0,237,not valid frame,1,14878,30178
0.76,8.82,8.92,2.5,8.34,0,353,30,14,237,not valid frame,1,14878,30190
0.77,8.82,8.87,2.52,9.2,0,352,30,14,237,not valid frame,1,14878,30178
0.78,8.86,8.8,2.53,8.51,0,352,30,14,237,not valid frame,1,14878,30178
0.79,8.85,8.79,2.56,9.16,0,352,30,14,237,not valid frame,1,14878,30178
0.79,8.98,8.95,2.55,8.53,0,352,30,14,237,not valid frame,1,14878,30178
0.8,8.86,8.87,2.53,8.95,0,352,30,14,237,not valid frame,1,14878,30178
0.81,8.77,8.92,2.5,8.79,0,352,30,14,237,not valid frame,1,14878,30166
0.82,8.94,8.77,2.52,9.05,0,353,30,14,237,not valid frame,1,14878,30178
0.83,8.8,8.93,2.56,8.49,0,353,30,0,237,not valid frame,1,14878,30178
0.84,9.03,8.95,2.49,9.14,0,351,30,14,237,not valid frame,1,14878,30166
0.85,8.77,8.87,2.5,8.74,0,352,30,14,237,not valid frame,1,14878,30166
0.86,8.9,8.76,2.54,9.06,0,352,30,14,237,not valid frame,1,14878,30166
0.87,8.76,8.91,2.57,8.81,0,352,30,0,237,not valid frame,1,14878,30166
0.87,8.84,8.69,2.5,8.71,0,352,30,0,237,not valid frame,1,14878,30166
0.88,8.85,8.82,2.52,8.81,0,352,30,0,237,not valid frame,1,14878,30166
0.89,9.97,10.01,2.48,8.98,0,352,30,14,237,not valid frame,1,14878,30166
0.9,8.8,8.84,2.56,9.08,0,352,30,14,237,not valid frame,1,14878,30166
0.91,9,9.04,2.59,9.7,0,352,30,0,237,not valid frame,1,14878,30166
0.92,8.75,8.7,2.5,8.67,0,352,30,14,237,not valid frame,1,14878,30166
0.93,8.89,8.87,2.51,9.04,0,352,30,0,237,not valid frame,1,14878,30166
0.94,8.9,8.81,2.55,8.88,0,352,30,0,237,not valid frame,1,14878,30166
0.95,8.76,8.88,2.5,8.78,0,352,30,0,237,not valid frame,1,14878,30166
0.96,8.85,8.82,2.53,9,0,352,30,14,237,not valid frame,1,14878,30166
0.96,9.15,8.88,2.56,8.54,0,352,30,0,237,not valid frame,1,14878,30166
0.97,8.93,9.09,2.54,9.07,0,352,30,0,237,not valid frame,1,14878,30166
0.98,8.72,8.88,2.52,9.08,0,352,30,14,237,not valid frame,1,14878,30166
0.99,8.78,8.79,2.49,8.9,0,352,30,14,237,not valid frame,1,14878,30166
1,8.8,8.78,2.46,8.75,0,352,30,14,237,not valid frame,1,14878,30166
1.01,8.8,8.84,2.48,8.71,0,352,30,0,237,not valid frame,1,14878,30166
1.02,8.68,8.72,2.58,9.37,0,352,30,0,237,not valid frame,1,14878,30166
1.03,8.83,8.77,2.51,8.26,0,353,30,0,237,not valid frame,1,14878,30178
1.03,9.48,9.03,2.74,9.16,0,352,30,0,237,not valid frame,1,14878,30166
1.04,8.71,9.22,2.56,8.43,0,352,30,14,237,not valid frame,1,14878,30166
1.05,8.71,8.67,2.51,9.47,0,353,30,14,237,not valid frame,1,14878,30174
1.06,8.81,8.85,2.49,8.72,0,352,30,0,237,not valid frame,1,14878,30162
1.07,9.54,8.73,2.53,8.72,0,352,30,0,237,not valid frame,1,14878,30162
1.08,8.85,9.53,2.6,8.72,0,352,30,14,237,not valid frame,1,14878,30162
1.09,8.84,8.87,2.52,9.77,0,352,30,14,237,not valid frame,1,14878,30162
1.1,8.81,8.81,2.46,8.49,0,352,30,14,237,not valid frame,1,14878,30162
1.11,9.19,9.18,2.8,9.08,0,352,30,0,237,not valid frame,1,14878,30162
1.12,8.77,8.83,2.51,8.89,0,352,30,0,237,not valid frame,1,14878,30162
1.12,8.98,8.85,2.53,9.06,0,353,30,14,237,not valid frame,1,14878,30174
1.13,9.54,8.86,2.52,8.88,0,353,30,0,237,not valid frame,1,14878,30174
1.14,8.93,9.55,2.47,8.79,0,352,30,0,237,not valid frame,1,14878,30162
1.15,8.73,8.88,2.53,10.06,0,352,30,14,237,not valid frame,1,14878,30162
1.16,8.88,8.92,2.54,8.38,0,352,30,0,237,not valid frame,1,14878,30162
1.17,8.84,8.71,2.5,8.85,0,353,30,0,237,not valid frame,1,14878,30174
1.18,8.69,8.83,2.61,8.91,0,352,30,0,237,not valid frame,1,14878,30162
1.19,9.12,8.68,2.52,8.74,0,352,30,14,237,not valid frame,1,14878,30162
1.2,8.9,9.21,2.53,8.77,0,352,30,14,237,not valid frame,1,14878,30162
1.2,8.79,8.87,2.49,9.03,0,352,30,0,237,not valid frame,1,14878,30162
1.21,8.8,8.76,2.49,8.91,0,352,30,0,237,not valid frame,1,14878,30162
1.22,8.81,8.91,2.53,8.97,0,352,30,14,237,not valid frame,1,14878,30162
1.23,8.88,8.77,2.61,8.56,0,352,30,0,237,not valid frame,1,14878,30162
1.24,8.77,8.78,2.54,9.05,0,352,30,14,237,not valid frame,1,14878,30162
1.25,8.68,8.77,2.48,8.6,0,353,30,14,237,not valid frame,1,14878,30174
1.26,8.92,8.86,2.49,9.01,0,352,30,0,237,not valid frame,1,14878,30162
1.27,8.68,8.75,2.51,8.69,0,352,30,14,237,not valid frame,1,14878,30162
1.28,8.99,8.74,2.53,8.82,0,352,30,15,237,not valid frame,1,14878,30162
1.28,8.74,8.87,2.69,9.18,0,352,30,15,237,not valid frame,1,14878,30162
1.29,9.42,8.92,2.54,8.36,0,705040,32,0,237,not valid frame,1,15278,354
1.3,8.82,9.33,2.56,9.3,0,706064,32,0,237,not valid frame,1,15278,355
1.31,8.84,8.84,2.54,9,0,352,30,14,237,not valid frame,1,14878,30174
1.32,9.14,9.16,2.52,8.82,0,352,30,0,237,not valid frame,1,14878,30174
1.33,8.73,8.79,2.49,8.74,0,352,30,14,237,not valid frame,1,14878,30174
1.34,8.88,8.79,2.53,9.12,0,353,30,0,237,not valid frame,1,14878,30186
1.35,8.89,8.81,2.5,8.83,0,352,30,14,237,not valid frame,1,14878,30174
1.36,8.98,9.04,2.51,9.02,0,353,30,14,237,not valid frame,1,14878,30186
1.36,8.74,8.82,2.53,8.7,0,352,30,14,237,not valid frame,1,14878,30174
1.37,9.4,8.76,2.51,9.12,0,352,30,0,237,not valid frame,1,14878,30174
1.38,8.87,9.41,2.5,8.48,0,352,30,14,237,not valid frame,1,14878,30174
1.39,9.75,9.21,2.53,9.59,0,352,30,14,237,not valid frame,1,14878,30174
1.4,8.71,9.36,2.53,9.37,0,353,30,14,237,not valid frame,1,14878,30186
1.41,8.98,8.78,2.48,9.19,0,352,30,14,237,not valid frame,1,14878,30174
1.42,8.78,8.98,2.57,9.03,0,353,30,14,237,not valid frame,1,14878,30186
1.43,8.79,8.77,2.55,8.54,0,352,30,14,237,not valid frame,1,14878,30174
1.44,8.92,8.74,2.52,9.04,0,352,30,14,237,not valid frame,1,14878,30174
1.45,8.89,8.99,2.54,8.68,0,352,30,14,237,not valid frame,1,14878,30174
1.45,8.99,8.9,2.54,8.88,0,352,30,0,237,not valid frame,1,14878,30162
1.46,8.6,8.87,2.53,9,0,352,30,14,237,not valid frame,1,14878,30162
1.47,8.88,8.65,2.5,8.76,0,352,30,14,237,not valid frame,1,14878,30162
1.48,8.82,8.79,2.51,8.79,0,352,30,14,237,not valid frame,1,14878,30162
1.49,8.85,9.01,2.51,8.84,0,352,30,0,237,not valid frame,1,14878,30162
