RUN_ID,Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
1,10744,70,99,5533.527,1822.5,5508,89,59,54.6875,65.625,64.0625,76.5625,76.5625,79.6875,76.5625,85.9375,78.125,65.625,68.75,76.5625,72.39584,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,62.36041,6642,48.5,69.904
1,11050,70,99,5533.527,1822.5,5508,89,59,54.6875,65.625,64.0625,76.5625,76.5625,79.6875,76.5625,85.9375,78.125,65.625,68.75,76.5625,72.39584,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,62.36041,6642,48.5,69.904
1,11356,70,99,5533.527,1822.5,5508,89,59,54.6875,65.625,64.0625,76.5625,76.5625,79.6875,76.5625,85.9375,78.125,65.625,68.75,76.5625,72.39584,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,62.36041,6642,48.5,69.904
1,11661,71,99,5563.527,1822.5,5508,84,50,51.5625,57.8125,59.375,57.8125,68.75,64.0625,73.4375,76.5625,62.5,67.1875,60.9375,73.4375,64.45313,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,60.21332,6676,49.4,22.009
1,11967,71,99,5563.527,1822.5,5508,84,50,51.5625,57.8125,59.375,57.8125,68.75,64.0625,73.4375,76.5625,62.5,67.1875,60.9375,73.4375,64.45313,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,60.21332,6676,49.4,22.009
1,12272,71,99,5563.527,1822.5,5508,84,50,51.5625,57.8125,59.375,57.8125,68.75,64.0625,73.4375,76.5625,62.5,67.1875,60.9375,73.4375,64.45313,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,60.21332,6676,49.4,22.009
1,12577,71,99,5554.402,1822.5,5508,90,43,18.75,17.1875,29.6875,10.9375,17.1875,21.875,15.625,18.75,29.6875,14.0625,32.8125,35.9375,21.875,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.45898,6686,49.4,20.487
1,12882,71,99,5554.402,1822.5,5508,90,43,18.75,17.1875,29.6875,10.9375,17.1875,21.875,15.625,18.75,29.6875,14.0625,32.8125,35.9375,21.875,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.45898,6686,49.4,20.487
1,13187,71,99,5554.402,1822.5,5508,90,43,18.75,17.1875,29.6875,10.9375,17.1875,21.875,15.625,18.75,29.6875,14.0625,32.8125,35.9375,21.875,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.45898,6686,49.4,20.487
1,13493,72,99,5569.777,1822.5,5508,92,47,18.75,23.4375,28.125,20.3125,15.625,17.1875,12.5,18.75,14.0625,12.5,26.5625,20.3125,19.01042,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.64368,6805,49.1,20.678
1,13799,72,99,5569.777,1822.5,5508,92,47,18.75,23.4375,28.125,20.3125,15.625,17.1875,12.5,18.75,14.0625,12.5,26.5625,20.3125,19.01042,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.64368,6805,49.1,20.678
1,14105,72,99,5569.777,1822.5,5508,92,47,18.75,23.4375,28.125,20.3125,15.625,17.1875,12.5,18.75,14.0625,12.5,26.5625,20.3125,19.01042,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.64368,6805,49.1,20.678
1,14413,72,99,5569.777,1822.5,5508,92,47,18.75,23.4375,28.125,20.3125,15.625,17.1875,12.5,18.75,14.0625,12.5,26.5625,20.3125,19.01042,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,28.64368,6805,49.1,20.678
1,14718,72,99,5637.582,1822.5,5508,88,42,26.5625,18.75,21.875,29.6875,29.6875,20.3125,32.8125,31.25,21.875,25,28.125,20.3125,25.52084,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.02301,6924,49.1,21.198
1,15024,72,99,5637.582,1822.5,5508,88,42,26.5625,18.75,21.875,29.6875,29.6875,20.3125,32.8125,31.25,21.875,25,28.125,20.3125,25.52084,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.02301,6924,49.1,21.198
1,15330,72,99,5637.582,1822.5,5508,88,42,26.5625,18.75,21.875,29.6875,29.6875,20.3125,32.8125,31.25,21.875,25,28.125,20.3125,25.52084,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.02301,6924,49.1,21.198
1,15639,70,81,5742.027,1822.5,5508,82,58,35.9375,29.6875,32.8125,56.25,43.75,29.6875,37.5,39.0625,40.625,26.5625,32.8125,39.0625,36.97917,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,39.0694,7060,19.6,235.944
1,15947,70,81,5742.027,1822.5,5508,82,58,35.9375,29.6875,32.8125,56.25,43.75,29.6875,37.5,39.0625,40.625,26.5625,32.8125,39.0625,36.97917,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,39.0694,7060,19.6,235.944
1,16254,70,81,5742.027,1822.5,5508,82,58,35.9375,29.6875,32.8125,56.25,43.75,29.6875,37.5,39.0625,40.625,26.5625,32.8125,39.0625,36.97917,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,39.0694,7060,19.6,235.944
1,16561,72,99,5823.391,1822.5,5508,90,54,48.4375,60.9375,62.5,70.3125,70.3125,73.4375,81.25,76.5625,42.1875,64.0625,65.625,73.4375,65.75521,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,60.31073,7155,46.7,25.888
1,16866,72,99,5823.391,1822.5,5508,90,54,48.4375,60.9375,62.5,70.3125,70.3125,73.4375,81.25,76.5625,42.1875,64.0625,65.625,73.4375,65.75521,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,60.31073,7155,46.7,25.888
1,17172,72,99,5823.391,1822.5,5508,90,54,48.4375,60.9375,62.5,70.3125,70.3125,73.4375,81.25,76.5625,42.1875,64.0625,65.625,73.4375,65.75521,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,60.31073,7155,46.7,25.888
1,17478,72,99,6536.355,1822.5,5508,86,51,25,26.5625,32.8125,29.6875,23.4375,26.5625,26.10838,21.49015,21.49015,13.79311,27.64779,23.02956,24.8018,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,60.31073,7155,46.7,25.888
1,17785,72,99,6536.355,1822.5,5508,86,51,25,26.5625,32.8125,29.6875,23.4375,26.5625,26.10838,21.49015,21.49015,13.79311,27.64779,23.02956,24.8018,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.90686,7302,46.5,61.236
1,18091,72,99,6536.355,1822.5,5508,86,51,25,26.5625,32.8125,29.6875,23.4375,26.5625,26.10838,21.49015,21.49015,13.79311,27.64779,23.02956,24.8018,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.90686,7302,46.5,61.236
1,18396,72,99,6536.355,1822.5,5508,86,51,25,26.5625,32.8125,29.6875,23.4375,26.5625,26.10838,21.49015,21.49015,13.79311,27.64779,23.02956,24.8018,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.90686,7302,46.5,61.236
1,18702,72,99,6475.117,1822.5,5508,89,50,23.02956,33.80542,26.10838,35.34483,32.26601,18.41133,26.5625,28.125,21.875,20.3125,25,25,26.32004,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.45441,7341,47.8,24.42
1,19007,72,99,6475.117,1822.5,5508,89,50,23.02956,33.80542,26.10838,35.34483,32.26601,18.41133,26.5625,28.125,21.875,20.3125,25,25,26.32004,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.45441,7341,47.8,24.42
1,19313,72,99,6475.117,1822.5,5508,89,50,23.02956,33.80542,26.10838,35.34483,32.26601,18.41133,26.5625,28.125,21.875,20.3125,25,25,26.32004,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.45441,7341,47.8,24.42
1,19619,73,99,6482.949,1822.5,5508,89,51,25.44416,25.44416,15.9264,36.54823,22.27158,23.85787,22.27158,27.03046,25.44416,12.75381,23.85787,22.27158,23.59349,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,31.16746,7402,47.3,23.155
1,19926,73,99,6482.949,1822.5,5508,89,51,25.44416,25.44416,15.9264,36.54823,22.27158,23.85787,22.27158,27.03046,25.44416,12.75381,23.85787,22.27158,23.59349,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,31.16746,7402,47.3,23.155
1,20232,73,99,6482.949,1822.5,5508,89,51,25.44416,25.44416,15.9264,36.54823,22.27158,23.85787,22.27158,27.03046,25.44416,12.75381,23.85787,22.27158,23.59349,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,31.16746,7402,47.3,23.155
1,20537,73,99,6494.781,1822.5,5508,83,51,20.3125,23.4375,23.4375,25,21.875,25,34.375,32.8125,26.5625,17.1875,18.75,20.3125,24.08854,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,30.841,7467,47.5,23.105
1,20843,73,99,6494.781,1822.5,5508,83,51,20.3125,23.4375,23.4375,25,21.875,25,34.375,32.8125,26.5625,17.1875,18.75,20.3125,24.08854,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,30.841,7467,47.5,23.105
1,21149,73,99,6494.781,1822.5,5508,83,51,20.3125,23.4375,23.4375,25,21.875,25,34.375,32.8125,26.5625,17.1875,18.75,20.3125,24.08854,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,30.841,7467,47.5,23.105
1,21454,73,99,6494.781,1822.5,5508,83,51,20.3125,23.4375,23.4375,25,21.875,25,34.375,32.8125,26.5625,17.1875,18.75,20.3125,24.08854,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,30.841,7467,47.5,23.105
1,21760,73,99,6499.543,1822.5,5508,89,51,29.6875,23.4375,23.4375,21.875,18.75,25,21.875,20.3125,14.0625,12.5,21.875,35.9375,22.39583,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.09332,7527,47.1,23.297
1,22069,73,99,6499.543,1822.5,5508,89,51,29.6875,23.4375,23.4375,21.875,18.75,25,21.875,20.3125,14.0625,12.5,21.875,35.9375,22.39583,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.09332,7527,47.1,23.297
1,22375,73,99,6499.543,1822.5,5508,89,51,29.6875,23.4375,23.4375,21.875,18.75,25,21.875,20.3125,14.0625,12.5,21.875,35.9375,22.39583,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,32.09332,7527,47.1,23.297
1,22682,73,99,6677.434,1822.5,5508,87,48,29.6875,26.5625,25,40.625,23.4375,23.4375,21.875,26.5625,20.3125,34.375,20.3125,35.9375,27.34375,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.27203,7755,46.8,25.073
1,22987,73,99,6677.434,1822.5,5508,87,48,29.6875,26.5625,25,40.625,23.4375,23.4375,21.875,26.5625,20.3125,34.375,20.3125,35.9375,27.34375,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.27203,7755,46.8,25.073
1,23293,73,99,6677.434,1822.5,5508,87,48,29.6875,26.5625,25,40.625,23.4375,23.4375,21.875,26.5625,20.3125,34.375,20.3125,35.9375,27.34375,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,33.27203,7755,46.8,25.073
1,23599,73,86,6762.121,1822.5,5508,75,47,32.8125,23.4375,39.0625,40.625,31.25,29.6875,39.0625,17.1875,29.6875,31.25,32.8125,17.1875,30.33854,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,30.58875,7802,41.3,53.082
1,23907,73,86,6762.121,1822.5,5508,75,47,32.8125,23.4375,39.0625,40.625,31.25,29.6875,39.0625,17.1875,29.6875,31.25,32.8125,17.1875,30.33854,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,30.58875,7802,41.3,53.082
1,24214,73,86,6762.121,1822.5,5508,75,47,32.8125,23.4375,39.0625,40.625,31.25,29.6875,39.0625,17.1875,29.6875,31.25,32.8125,17.1875,30.33854,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,30.58875,7802,41.3,53.082
1,24519,74,99,6765.496,1822.5,5508,85,47,25,29.6875,37.5,23.4375,37.5,17.1875,31.25,21.875,34.375,12.5,34.375,14.0625,26.5625,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,32.48828,7816,45.7,42.339
1,24825,74,99,6765.496,1822.5,5508,85,47,25,29.6875,37.5,23.4375,37.5,17.1875,31.25,21.875,34.375,12.5,34.375,14.0625,26.5625,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,32.48828,7816,45.7,42.339
1,25132,74,99,6765.496,1822.5,5508,85,47,25,29.6875,37.5,23.4375,37.5,17.1875,31.25,21.875,34.375,12.5,34.375,14.0625,26.5625,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,32.48828,7816,45.7,42.339
1,25438,74,99,6765.496,1822.5,5508,85,47,25,29.6875,37.5,23.4375,37.5,17.1875,31.25,21.875,34.375,12.5,34.375,14.0625,26.5625,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,32.48828,7816,45.7,42.339
1,25746,74,99,6835.309,1822.5,5508,83,56,59.375,50,50,48.4375,60.9375,48.4375,53.125,51.5625,51.5625,40.625,53.125,52.27833,51.62215,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,45.16096,8001,48,22.463
1,26053,74,99,6835.309,1822.5,5508,83,56,59.375,50,50,48.4375,60.9375,48.4375,53.125,51.5625,51.5625,40.625,53.125,52.27833,51.62215,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,45.16096,8001,48,22.463
1,26360,74,99,6835.309,1822.5,5508,83,56,59.375,50,50,48.4375,60.9375,48.4375,53.125,51.5625,51.5625,40.625,53.125,52.27833,51.62215,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,45.16096,8001,48,22.463
1,26667,74,99,6843.496,1822.5,5508,83,53,53.81773,53.81773,55.35714,73.83005,52.27833,47.6601,56.89655,33.80542,59.97537,32.26601,58.43596,59.375,53.12628,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,46.79523,8048,47.8,21.548
1,26974,74,99,6843.496,1822.5,5508,83,53,53.81773,53.81773,55.35714,73.83005,52.27833,47.6601,56.89655,33.80542,59.97537,32.26601,58.43596,59.375,53.12628,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,46.79523,8048,47.8,21.548
1,27281,74,99,6843.496,1822.5,5508,83,53,53.81773,53.81773,55.35714,73.83005,52.27833,47.6601,56.89655,33.80542,59.97537,32.26601,58.43596,59.375,53.12628,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,46.79523,8048,47.8,21.548
1,27586,75,99,6844.746,1822.5,5508,91,45,40.625,31.25,40.625,31.25,39.0625,21.875,40.625,18.75,40.625,18.75,42.1875,21.875,32.29167,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,34.6629,8052,48.2,21.085
1,27893,75,99,6844.746,1822.5,5508,91,45,40.625,31.25,40.625,31.25,39.0625,21.875,40.625,18.75,40.625,18.75,42.1875,21.875,32.29167,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,34.6629,8052,48.2,21.085
1,28199,75,99,6844.746,1822.5,5508,91,45,40.625,31.25,40.625,31.25,39.0625,21.875,40.625,18.75,40.625,18.75,42.1875,21.875,32.29167,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,34.6629,8052,48.2,21.085
1,28509,75,99,6846.184,1822.5,5508,92,41,25.44416,20.68528,22.27158,27.03046,20.68528,17.51269,14.3401,15.9264,15.9264,14.3401,15.9264,15.9264,18.8346,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,18.26556,8052,48,21.41
1,28815,75,99,6846.184,1822.5,5508,92,41,25.44416,20.68528,22.27158,27.03046,20.68528,17.51269,14.3401,15.9264,15.9264,14.3401,15.9264,15.9264,18.8346,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,18.26556,8052,48,21.41
1,29119,75,99,6846.184,1822.5,5508,92,41,25.44416,20.68528,22.27158,27.03046,20.68528,17.51269,14.3401,15.9264,15.9264,14.3401,15.9264,15.9264,18.8346,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,18.26556,8052,48,21.41
1,29427,75,99,6846.184,1822.5,5508,92,41,25.44416,20.68528,22.27158,27.03046,20.68528,17.51269,14.3401,15.9264,15.9264,14.3401,15.9264,15.9264,18.8346,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,3496.218,18.26556,8052,48,21.41
