Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
17090,78,97,4859.152,1809.5,5508,79,55,57.8125,48.4375,43.75,32.8125,59.375,43.75,43.75,45.3125,39.0625,51.5625,46.875,53.86319,47.19693,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,49.90261,8481,140.2,9.978
18095,77,27,5113.418,1809.5,5508,58,52,62.5,39.0625,42.1875,42.1875,53.125,32.8125,56.25,42.1875,46.875,42.1875,40.625,42.83537,45.23628,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,43.86883,8376,117.8,46.02
19100,75,34,5116.355,1809.5,5508,47,57,31.25,43.75,39.0625,35.9375,37.5,37.5,46.875,26.5625,37.5,32.8125,45.3125,31.25,37.10938,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,4095.563,37.53088,8716,40.3,51.023
20105,76,72,5158.043,1809.5,5508,73,55,45.3125,42.1875,43.75,51.5625,45.3125,51.5625,46.875,39.0625,45.3125,21.875,45.3125,25,41.92708,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,42.97302,8386,65.3,43.447
21111,75,56,5191.543,1809.5,5508,63,61,89.0625,82.8125,84.375,87.5,87.5,78.125,87.5,79.6875,85.9375,85.9375,81.25,87.5,84.76563,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,62.22076,8739,73.3,16.986
22118,76,55,5196.793,1809.5,5508,67,58,87.5,82.8125,87.5,90.625,85.9375,62.5,89.0625,65.625,81.25,75,79.6875,79.6875,80.59896,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,61.46667,8433,78.8,16.818
23125,77,97,5196.543,1809.5,5508,78,59,81.25,64.0625,70.3125,75,75,43.75,64.0625,43.75,73.4375,35.9375,68.75,43.75,61.58854,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,53.44257,8713,113.7,13.745
24131,77,97,5197.98,1809.5,5508,80,52,70.3125,37.5,62.5,45.3125,48.4375,50,34.375,46.875,53.125,29.6875,39.0625,51.5625,47.39583,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,46.53406,8440,145.1,7.307
25145,77,96,5537.469,1809.5,5508,78,63,87.5,82.8125,84.375,90.625,82.8125,81.25,82.8125,84.375,85.9375,78.125,81.25,79.6875,83.46354,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,61.83838,8636,73.6,62.461
26157,77,97,5654.469,1809.5,5508,73,66,93.75,93.75,92.1875,98.4375,96.875,98.4375,98.4375,95.3125,100,93.75,98.4375,96.875,96.35416,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,68.02948,8933,65.6,25.98
27171,77,96,5565.5,1809.5,5508,67,64,100,95.3125,93.75,93.75,98.4375,100,100,98.4375,100,95.3125,93.75,100,97.39584,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,4095.568,67.62103,8566,76.6,19.767
28179,77,96,5670.813,1809.5,5508,73,63,96.875,93.75,96.875,93.75,93.75,95.3125,100,98.4375,96.875,95.3125,96.875,96.875,96.22396,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,66.20819,8806,85.3,20.947
29191,77,96,5669.5,1809.5,5508,72,62,96.875,85.9375,90.625,96.875,98.4375,100,95.3125,96.875,96.875,95.3125,96.875,98.4375,95.70313,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,4095.564,68.02945,8589,88.2,16.269
30200,77,96,5669.5,1809.5,5508,73,63,90.625,87.5,89.0625,82.8125,98.4375,100,100,100,96.875,95.3125,96.875,95.3125,94.40104,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,68.44633,8607,87.8,15.546
31208,77,96,5695.375,1809.5,5508,71,63,81.25,79.6875,81.25,82.8125,85.9375,90.625,85.9375,82.8125,85.9375,75,87.5,75,82.8125,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,64.00604,8919,87.3,15.734
32216,77,96,5694.5,1809.5,5508,73,58,87.5,75,82.8125,76.5625,81.25,78.125,85.9375,89.0625,76.5625,76.5625,85.9375,81.25,81.38021,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,62.83496,8590,86.6,16.53
33223,77,96,5690.43,1809.5,5508,72,64,79.6875,70.3125,70.3125,67.1875,59.375,53.125,62.5,60.9375,64.0625,67.1875,73.4375,60.9375,65.75521,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,57.88373,8872,88.4,16.191
34232,77,96,5654.43,1809.5,5508,73,59,85.9375,79.6875,84.375,81.25,79.6875,87.5,89.0625,82.8125,85.9375,82.8125,89.0625,76.5625,83.72396,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,63.43292,8580,86.5,16.175
35239,77,95,5655.117,1809.5,5508,69,63,82.8125,64.0625,71.875,67.1875,73.4375,60.9375,67.1875,67.1875,65.625,53.125,64.0625,60.9375,66.53646,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,56.93945,8712,84.6,15.149
36254,77,95,5655.93,1809.5,5508,72,62,81.25,71.875,84.375,70.3125,73.4375,70.3125,78.125,82.8125,76.5625,65.625,81.25,79.6875,76.30209,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,60.96454,8919,76.4,20.993
37267,77,95,5626.305,1809.5,5508,69,60,81.25,70.3125,75,81.25,87.5,81.25,85.9375,81.25,90.625,71.875,84.375,85.9375,81.38021,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,61.95374,8585,71.7,19.016
38278,77,94,5624.43,1809.5,5508,73,62,76.5625,65.625,75,76.5625,73.4375,79.6875,75,75,75,70.3125,73.4375,75,74.21875,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,60.22125,8916,71.2,19.096
39287,77,95,5626.367,1809.5,5508,77,61,75,76.5625,70.3125,75,70.3125,62.5,78.125,60.9375,75,57.8125,75,60.9375,69.79166,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,55.42407,8600,66,19.109
40295,77,96,5652.992,1809.5,5508,77,62,98.4375,93.75,96.875,92.1875,98.4375,93.75,96.875,98.4375,96.875,96.875,96.875,95.3125,96.22396,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,67.98225,8961,59.6,23.284
41304,77,96,5676.492,1809.5,5508,72,63,98.4375,87.5,92.1875,87.5,96.875,100,96.875,100,90.625,93.75,93.75,96.875,94.53125,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,68.68463,8659,58.8,23.785
42320,77,96,5682.867,1809.5,5508,72,62,98.4375,93.75,92.1875,95.3125,95.3125,95.3125,96.875,98.4375,93.75,95.3125,95.3125,98.4375,95.70313,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,67.03949,8659,60.3,21.431
43332,77,96,5640.93,1809.5,5508,75,61,92.1875,98.4375,90.625,93.75,98.4375,96.875,100,100,95.3125,96.875,95.3125,96.875,96.22396,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,67.92529,8991,62,21.871
44345,77,96,5637.805,1809.5,5508,73,64,95.3125,87.5,87.5,90.77264,98.4621,100,95.38632,95.38632,89.23474,95.38632,92.31053,100,93.93763,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,67.40936,8648,62,20.271
45352,77,96,5620.055,1809.5,5508,74,63,92.1875,89.0625,90.625,90.47256,96.82419,96.82419,100,98.41209,93.64838,96.82419,95.23628,95.23628,94.61277,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,68.18458,8783,61.6,21.047
46363,77,96,5621.555,1809.5,5508,76,65,92.1875,98.4375,95.3125,96.875,98.4375,96.875,96.875,98.4375,95.3125,100,95.3125,98.4375,96.875,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,67.27039,8976,61.3,22.203
47371,77,96,5632.617,1809.5,5508,74,61,76.5625,73.4375,79.6875,71.875,70.3125,65.625,70.3125,60.9375,70.3125,62.5,67.1875,71.875,70.05209,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,55.70593,8653,63.5,19.554
48380,77,96,5617.43,1809.5,5508,78,64,87.5,84.375,84.375,79.6875,81.25,85.9375,78.125,84.375,79.6875,76.5625,79.6875,85.9375,82.29166,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,59.46606,8972,62.4,20.874
49386,77,97,5654.43,1809.5,5508,73,58,81.25,70.3125,70.3125,70.3125,73.4375,59.375,68.75,59.375,67.1875,56.25,73.4375,60.9375,67.57813,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,55.61877,8641,63.4,19.453
50393,77,96,5653.805,1809.5,5508,75,66,87.5,71.875,84.375,76.5625,84.375,73.4375,81.25,70.3125,81.25,73.4375,78.125,70.3125,77.73438,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,58.95844,8971,60.5,32.822
51400,77,96,5622.023,1809.5,5508,73,58,59.375,54.6875,51.5625,50,59.375,50,48.4375,53.125,75,64.0625,57.8125,54.6875,56.51042,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,57.65662,8661,62.8,18.868
