Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,59,4,5961.086,139,405,13,46,22.27158,9.581221,9.581221,14.3401,46.06599,33.37564,17.51269,12.75381,15.9264,9.581221,20.68528,6.408631,18.17365,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.92619,8216,0,0
304,59,4,5961.086,139,405,13,46,22.27158,9.581221,9.581221,14.3401,46.06599,33.37564,17.51269,12.75381,15.9264,9.581221,20.68528,6.408631,18.17365,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,33.92619,8216,0,0
608,59,3,5961.273,139,405,13,48,6.096061,0,7.63547,13.79311,32.26601,35.34483,1.477835,7.63547,1.477835,1.477835,9.174879,3.017244,9.949715,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,26.13375,8217,0,0
912,59,3,5961.273,139,405,13,48,6.096061,0,7.63547,13.79311,32.26601,35.34483,1.477835,7.63547,1.477835,1.477835,9.174879,3.017244,9.949715,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,26.13375,8217,0,0
1217,59,3,5961.273,139,405,13,48,6.096061,0,7.63547,13.79311,32.26601,35.34483,1.477835,7.63547,1.477835,1.477835,9.174879,3.017244,9.949715,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,26.13375,8217,0,0
1521,59,3,5961.273,139,405,13,48,6.096061,0,7.63547,13.79311,32.26601,35.34483,1.477835,7.63547,1.477835,1.477835,9.174879,3.017244,9.949715,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,26.13375,8217,0,0
2030,59,0,5961.273,139,405,13,44,15.57565,3.88612,32.46052,7.782629,15.57565,14.27681,7.782629,7.782629,7.782629,5.184957,7.782629,3.88612,10.81325,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,27.10839,8193,0,0
2359,59,0,5961.273,139,405,13,44,15.57565,3.88612,32.46052,7.782629,15.57565,14.27681,7.782629,7.782629,7.782629,5.184957,7.782629,3.88612,10.81325,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,27.10839,8193,0,0
2664,61,88,5761.586,1632.5,5508,65,46,16.08056,6.090156,12.0844,10.08632,18.07865,8.088238,36.06138,10.08632,18.07865,12.0844,26.07097,10.08632,15.24803,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,30.03484,8281,0.5,45234.87
2968,61,88,5761.586,1632.5,5508,65,46,16.08056,6.090156,12.0844,10.08632,18.07865,8.088238,36.06138,10.08632,18.07865,12.0844,26.07097,10.08632,15.24803,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,30.03484,8281,0.5,45234.87
3273,61,88,5761.586,1632.5,5508,65,46,16.08056,6.090156,12.0844,10.08632,18.07865,8.088238,36.06138,10.08632,18.07865,12.0844,26.07097,10.08632,15.24803,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,30.03484,8281,0.5,45234.87
3577,67,98,5761.586,1835,5508,88,42,20.3125,9.375002,20.3125,12.5,14.0625,23.4375,20.3125,6.250002,17.1875,7.812502,12.5,7.812502,14.32292,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,15.93353,8285,76.1,15.476
3881,67,98,5761.586,1835,5508,88,42,20.3125,9.375002,20.3125,12.5,14.0625,23.4375,20.3125,6.250002,17.1875,7.812502,12.5,7.812502,14.32292,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,15.93353,8285,76.1,15.476
4186,67,98,5761.586,1835,5508,88,42,20.3125,9.375002,20.3125,12.5,14.0625,23.4375,20.3125,6.250002,17.1875,7.812502,12.5,7.812502,14.32292,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,15.93353,8285,76.1,15.476
4492,67,98,5761.586,1835,5508,88,42,20.3125,9.375002,20.3125,12.5,14.0625,23.4375,20.3125,6.250002,17.1875,7.812502,12.5,7.812502,14.32292,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,15.93353,8285,76.1,15.476
4808,68,98,5760.211,1835,5508,88,47,25,12.5,23.4375,17.1875,25,15.625,28.125,7.812502,17.1875,7.812502,15.625,15.625,17.57813,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,17.01746,8286,71.4,16.785
5114,68,98,5760.211,1835,5508,88,47,25,12.5,23.4375,17.1875,25,15.625,28.125,7.812502,17.1875,7.812502,15.625,15.625,17.57813,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,17.01746,8286,71.4,16.785
5433,68,98,5760.211,1835,5508,88,47,25,12.5,23.4375,17.1875,25,15.625,28.125,7.812502,17.1875,7.812502,15.625,15.625,17.57813,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,3795.894,17.01746,8286,71.4,16.785
5746,69,98,5845.824,1822.5,5508,86,42,7.812502,15.625,15.625,6.250002,12.5,15.625,12.5,14.0625,9.375002,7.812502,12.5,12.5,11.84896,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,17.34009,8258,67.7,16.753
6051,69,98,5845.824,1822.5,5508,86,42,7.812502,15.625,15.625,6.250002,12.5,15.625,12.5,14.0625,9.375002,7.812502,12.5,12.5,11.84896,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,17.34009,8258,67.7,16.753
6359,69,98,5845.824,1822.5,5508,86,42,7.812502,15.625,15.625,6.250002,12.5,15.625,12.5,14.0625,9.375002,7.812502,12.5,12.5,11.84896,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,17.34009,8258,67.7,16.753
6663,69,98,5845.824,1822.5,5508,86,45,39.0625,28.125,28.125,34.375,28.125,29.6875,29.6875,26.5625,28.125,28.125,25,25,29.16667,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,13.12933,8257,64.5,16.333
6970,69,98,5845.824,1822.5,5508,86,45,39.0625,28.125,28.125,34.375,28.125,29.6875,29.6875,26.5625,28.125,28.125,25,25,29.16667,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,13.12933,8257,64.5,16.333
7293,69,98,5845.824,1822.5,5508,86,45,39.0625,28.125,28.125,34.375,28.125,29.6875,29.6875,26.5625,28.125,28.125,25,25,29.16667,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,1997.839,13.12933,8257,64.5,16.333
7605,69,97,5804.199,1822.5,5508,86,44,23.4375,18.75,23.4375,23.4375,20.3125,23.4375,23.4375,26.5625,29.6875,21.875,28.125,23.4375,23.82813,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,16.70221,8222,84.7,66.485
7909,69,97,5804.199,1822.5,5508,86,44,23.4375,18.75,23.4375,23.4375,20.3125,23.4375,23.4375,26.5625,29.6875,21.875,28.125,23.4375,23.82813,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,16.70221,8222,84.7,66.485
8215,69,97,5804.199,1822.5,5508,86,44,23.4375,18.75,23.4375,23.4375,20.3125,23.4375,23.4375,26.5625,29.6875,21.875,28.125,23.4375,23.82813,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,16.70221,8222,84.7,66.485
8521,69,97,5804.199,1822.5,5508,86,44,23.4375,18.75,23.4375,23.4375,20.3125,23.4375,23.4375,26.5625,29.6875,21.875,28.125,23.4375,23.82813,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,16.70221,8222,84.7,66.485
8825,64,100,5943.387,1455,5508,56,47,18.75,10.9375,12.5,23.4375,7.812502,9.375002,9.375002,3.125002,10.9375,4.687502,7.812502,37.5,13.02083,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,19.7533,8192,21.9,304.513
9130,64,100,5943.387,1455,5508,56,47,18.75,10.9375,12.5,23.4375,7.812502,9.375002,9.375002,3.125002,10.9375,4.687502,7.812502,37.5,13.02083,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,799.1356,19.7533,8192,21.9,304.513
