Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
17274,63,99,5136.293,1835,5508,85,47,26.5625,31.25,23.4375,26.5625,28.125,25,53.125,37.5,21.875,21.875,28.125,34.375,29.81771,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,35.44495,6366,48.2,24.792
18279,64,99,5747.066,1835,5508,88,55,32.8125,34.375,23.4375,20.3125,32.8125,28.125,40.625,37.5,12.5,25,14.0625,28.125,27.47396,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,4096.916,36.97461,6791,48.5,26.555
19284,64,99,5758.949,1835,5508,87,49,31.25,34.375,26.5625,23.4375,26.5625,28.125,35.9375,37.5,15.625,14.0625,23.4375,40.625,28.125,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,34.76819,6516,48.7,23.279
20290,65,99,5769.324,1835,5508,91,55,23.4375,26.5625,25,18.75,20.3125,31.25,23.4375,31.25,20.3125,17.1875,25,28.125,24.21875,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,33.86987,6896,48.9,22.432
21295,65,99,5775.32,1835,5508,89,50,26.5625,25,26.5625,26.5625,25,26.5625,37.5,35.9375,26.5625,26.5625,39.0625,42.1875,30.33854,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,35.66187,6629,48.4,22.219
22300,65,99,5783.293,1835,5508,84,54,23.4375,28.125,20.3125,28.125,20.3125,34.375,32.8125,28.125,17.1875,17.1875,17.1875,29.6875,24.73958,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,32.90723,6939,48.5,22.916
23307,65,94,6052.871,1835,5508,85,54,31.25,29.6875,26.5625,37.5,35.9375,26.5625,35.9375,39.0625,17.1875,25,25,28.125,29.81771,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,36.76294,6877,46.7,50.656
24313,65,92,6042.371,1835,5508,69,50,50,26.5625,25,14.0625,28.125,15.625,18.75,15.625,23.4375,18.75,37.5,21.875,24.60938,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,31.98688,7081,39.3,47.079
25318,66,99,6085.121,1835,5508,86,49,53.125,32.8125,34.375,35.9375,43.75,48.4375,45.3125,43.75,32.8125,29.6875,43.75,46.875,40.88542,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,4095.565,40.90875,7004,48.9,43.575
26325,66,99,6117.996,1835,5508,91,55,54.6875,42.1875,48.4375,50,53.125,40.625,54.6875,59.375,54.6875,43.75,45.3125,57.8125,50.39063,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,4095.567,48.15265,7229,48,21.576
