Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=%,CPU temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU clock=MHz,CPU power=W,RAM usage=MB,Framerate=FPS,Frametime=ms
0,64,39,5934.148,139,405,16,51,21.49015,12.2537,32.26601,16.87192,33.80542,3.017244,23.02956,12.2537,39.96305,23.02956,15.33251,12.2537,20.46388,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,4195.463,35.07251,8271,0,0
318,64,11,5932.023,139,405,16,52,25.44416,7.994926,25.44416,3.236043,38.13452,22.27158,19.09899,9.581221,36.54823,28.61675,19.09899,25.44416,21.74281,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,37.70465,8293,0,0
623,64,11,5932.023,139,405,16,52,25.44416,7.994926,25.44416,3.236043,38.13452,22.27158,19.09899,9.581221,36.54823,28.61675,19.09899,25.44416,21.74281,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,37.70465,8293,0,0
928,64,11,5932.023,139,405,16,52,25.44416,7.994926,25.44416,3.236043,38.13452,22.27158,19.09899,9.581221,36.54823,28.61675,19.09899,25.44416,21.74281,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,37.70465,8293,0,0
1231,64,7,5931.648,139,405,16,47,18.41133,12.2537,15.33251,4.556653,13.79311,1.477835,6.096061,3.017244,26.10838,18.41133,19.95074,12.2537,12.63855,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,28.76062,8304,0,0
1535,64,7,5931.648,139,405,16,47,18.41133,12.2537,15.33251,4.556653,13.79311,1.477835,6.096061,3.017244,26.10838,18.41133,19.95074,12.2537,12.63855,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,28.76062,8304,0,0
2027,64,7,5931.648,139,405,16,47,18.41133,12.2537,15.33251,4.556653,13.79311,1.477835,6.096061,3.017244,26.10838,18.41133,19.95074,12.2537,12.63855,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,4095.57,28.76062,8304,0,0
2364,63,38,5859.523,139,405,18,50,38.13452,1.649748,9.581221,1.649748,19.09899,7.994926,15.9264,11.16751,14.3401,4.822337,14.3401,11.16751,12.48943,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,29.7354,8365,0,30615.7
2669,63,38,5859.523,139,405,18,50,38.13452,1.649748,9.581221,1.649748,19.09899,7.994926,15.9264,11.16751,14.3401,4.822337,14.3401,11.16751,12.48943,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,29.7354,8365,0,30615.7
2973,63,38,5859.523,139,405,18,50,38.13452,1.649748,9.581221,1.649748,19.09899,7.994926,15.9264,11.16751,14.3401,4.822337,14.3401,11.16751,12.48943,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,4095.571,29.7354,8365,0,30615.7
