FrameTime,RenderTime,NumberOfLight,SetPass,RendererInView,DrawCalls,Batches,Triangeles,Vertices,RenderTextureCount,Resolution
0.02,0.01907749,33,334,0,529,529,333787,253654,2,1983x803
0.02,0.01907749,33,334,0,529,529,333787,253654,2,1983x803
0.2475851,0.01951226,33,334,331,529,529,333787,253654,40,2564x1271
0.03851128,0.08753829,33,486,346,775,462,377153,309339,40,2564x1271
0.01656702,0.006459444,33,472,346,754,439,390069,301571,40,2564x1271
0.01656813,0.004373767,33,472,346,758,443,394715,304955,40,2564x1271
0.01656453,0.004312766,33,472,346,760,444,396179,305961,40,2564x1271
0.0167137,0.003767917,33,471,346,749,444,398091,307259,40,2564x1271
0.01641951,0.003847496,33,472,346,746,444,399745,308259,40,2564x1271
0.01658394,0.003682793,33,472,347,746,444,401337,309417,40,2564x1271
0.01700706,0.003635933,33,470,347,760,443,402941,310629,40,2564x1271
0.01700235,0.003905723,33,476,347,754,448,405805,312893,40,2564x1271
0.0160011,0.00388576,33,476,347,756,448,407385,314055,40,2564x1271
0.016239,0.003868845,33,477,348,753,448,409117,315167,40,2564x1271
0.01678718,0.003865518,33,483,348,755,448,410769,316233,40,2564x1271
0.01698654,0.003845,33,482,351,766,453,411705,315275,40,2564x1271
0.0160047,0.003894909,33,487,349,755,452,414257,318642,40,2564x1271
0.01701926,0.003896019,33,483,349,755,450,416049,319849,40,2564x1271
0.01603631,0.003915983,33,480,351,766,449,417717,321111,40,2564x1271
0.01695299,0.003902396,33,484,351,757,451,419601,322442,40,2564x1271
0.01702813,0.004425341,33,484,351,757,451,421533,323618,40,2564x1271
0.01598114,0.004255647,33,484,351,769,451,423023,324706,40,2564x1271
0.01630361,0.003841395,33,480,350,750,447,424479,325910,40,2564x1271
0.01670344,0.004207955,33,475,350,759,443,426581,327362,40,2564x1271
0.01700373,0.004035767,33,475,351,760,442,428333,328816,40,2564x1271
0.0160036,0.0041159,33,478,353,749,443,429883,330019,40,2564x1271
0.01700373,0.004024121,33,487,352,761,444,432227,331732,40,2564x1271
0.01611922,0.004178842,33,485,352,764,447,434029,333155,40,2564x1271
0.01688839,0.00406294,33,487,352,754,448,435775,334479,40,2564x1271
0.01624455,0.004161927,33,487,353,750,447,437929,336031,40,2564x1271
0.0167625,0.004580338,33,486,353,763,447,439185,336892,40,2564x1271
0.01700512,0.004121168,33,485,353,749,446,440389,337633,40,2564x1271
0.0160036,0.004124218,33,486,353,754,446,442657,339124,40,2564x1271
0.01700373,0.004175237,33,489,353,764,447,444609,340606,40,2564x1271
0.0160585,0.004122277,33,490,353,764,447,446069,341848,40,2564x1271
0.01656675,0.004299457,33,495,353,758,452,449251,344266,40,2564x1271
0.01656675,0.004291693,33,494,353,769,452,451107,345539,40,2564x1271
0.01682212,0.004276998,33,492,353,769,452,452603,346626,40,2564x1271
0.0163111,0.004365171,33,493,353,769,452,454805,348215,40,2564x1271
0.01669679,0.004220433,33,494,353,755,452,457059,349791,40,2564x1271
0.01643753,0.003915151,33,493,353,757,452,458479,350761,40,2564x1271
0.0165698,0.004537084,33,497,353,769,453,460419,352065,40,2564x1271
0.01656286,0.004305279,33,495,353,769,453,461995,352990,40,2564x1271
0.01656758,0.004363508,33,496,353,760,453,463495,354011,40,2564x1271
0.0168931,0.004314153,33,496,353,760,453,465153,355049,40,2564x1271
0.01624344,0.00449771,33,493,354,757,450,465713,351381,40,2564x1271
0.01677942,0.004534033,33,406,354,627,319,461615,342909,40,2564x1271
0.01634936,0.003474558,33,406,354,625,317,462047,343398,40,2564x1271
0.01663163,0.003373074,33,404,354,629,316,462155,343569,40,2564x1271
0.01702065,0.002939691,33,405,353,629,316,462733,344141,40,2564x1271
0.01604768,0.003164562,33,400,353,623,313,463177,344558,40,2564x1271
0.0169419,0.003176763,33,401,353,626,313,463461,344842,40,2564x1271
0.01619159,0.003228059,33,400,353,626,313,463799,345113,40,2564x1271
0.01656647,0.003462912,33,399,353,621,313,464235,345554,40,2564x1271
0.01656675,0.002957991,33,397,353,624,314,464637,346437,40,2564x1271
0.01668958,0.002808816,33,398,353,627,314,464971,346745,40,2564x1271
0.01700401,0.003118257,33,398,351,625,313,464927,346670,40,2564x1271
0.01600637,0.003231663,33,396,352,619,309,465101,346792,40,2564x1271
0.01700041,0.002923886,33,397,352,618,310,465437,347316,40,2564x1271
0.01613336,0.002997919,33,404,352,625,315,467165,349026,40,2564x1271
0.01687702,0.003009564,33,406,352,625,316,467453,349338,40,2564x1271
0.01625592,0.003119644,33,406,351,622,316,467659,349567,40,2564x1271
0.01675363,0.003255509,33,405,351,620,315,468081,349968,40,2564x1271
0.01637958,0.003101897,33,408,351,618,316,468109,349951,40,2564x1271
0.01662747,0.00294995,33,407,351,616,315,468507,350318,40,2564x1271
0.01650713,0.003206432,33,408,352,621,315,468547,350345,40,2564x1271
0.01656564,0.003110216,33,412,352,620,315,469015,350715,40,2564x1271
0.01693857,0.003092747,33,409,352,622,317,469149,350842,40,2564x1271
0.01619492,0.0029591,33,410,352,621,317,469871,351480,40,2564x1271
0.01683654,0.002949395,33,411,353,617,318,470351,351878,40,2564x1271
0.01698294,0.003141271,33,401,353,613,311,469171,350860,40,2564x1271
0.01600609,0.003018438,33,401,354,617,311,469543,351253,40,2564x1271
0.01701455,0.00307001,33,401,354,614,310,469841,351607,40,2564x1271
0.01719006,0.003121584,33,400,354,607,310,469409,351198,40,2564x1271
0.01656785,0.003151808,33,397,353,614,310,469643,351329,40,2564x1271
0.01656785,0.002590044,33,393,354,609,308,470043,351648,40,2564x1271
0.01667682,0.003117702,33,392,354,610,308,467891,346942,40,2564x1271
0.01700346,0.003081379,33,392,354,611,309,468005,346967,40,2564x1271
0.01601829,0.003023428,33,394,355,614,309,468167,347034,40,2564x1271
0.01698959,0.002575071,33,395,355,619,309,468197,346995,40,2564x1271
0.01614279,0.002898931,33,397,354,615,312,468323,347079,40,2564x1271
0.01687924,0.002976568,33,398,355,614,311,469165,347799,40,2564x1271
0.01699043,0.003027864,33,398,355,616,312,469549,348262,40,2564x1271
0.0160036,0.003189517,33,408,355,622,319,471359,350022,40,2564x1271
0.01639317,0.003159294,33,407,355,618,319,471537,350188,40,2564x1271
0.01661333,0.003066683,33,406,354,633,318,471099,349704,40,2564x1271
0.01700346,0.003198113,33,402,353,607,315,471149,349740,40,2564x1271
0.01608345,0.003060029,33,403,353,624,312,470005,348845,40,2564x1271
0.0165673,0.002704559,33,403,353,620,313,470357,349027,40,2564x1271
0.01656591,0.002832661,33,403,353,612,313,471011,349393,40,2564x1271
0.01656647,0.003166503,33,403,353,621,313,471165,349515,40,2564x1271
0.01656675,0.002636904,33,403,353,615,313,471493,349684,40,2564x1271
0.0166735,0.002955218,33,403,353,639,313,471461,349610,40,2564x1271
0.01700706,0.002922222,33,404,353,617,313,469865,348490,40,2564x1271
0.01602051,0.002767502,33,393,353,616,306,467233,346691,40,2564x1271
0.01656813,0.002925549,33,396,353,606,307,466141,346242,40,2564x1271
0.0174227,0.002853735,33,397,353,613,308,465921,346045,40,2564x1271
0.01600055,0.002599472,33,397,354,617,307,464749,345434,40,2564x1271
0.01627727,0.002994037,33,403,354,604,307,463189,344615,40,2564x1271
0.01673062,0.003073893,33,405,354,619,310,462009,343766,40,2564x1271
0.01639955,0.002756133,33,406,354,608,311,461249,343251,40,2564x1271
0.01663218,0.002743933,33,404,354,630,311,459769,342356,40,2564x1271
0.016981,0.002834048,33,403,354,620,311,458067,341194,40,2564x1271
0.01700096,0.003095243,33,402,354,616,309,455515,339578,40,2564x1271
0.01601801,0.002696241,33,404,352,613,310,454471,338824,40,2564x1271
0.01620185,0.00268016,33,398,354,624,314,454667,340294,40,2564x1271
0.01656675,0.002843476,33,420,354,643,335,455611,343709,40,2564x1271
0.01724746,0.002745596,33,425,352,648,339,454819,343908,40,2564x1271
0.01598751,0.002905585,33,421,354,646,337,452829,342331,40,2564x1271
0.01700346,0.002708164,33,422,353,662,338,452693,342320,40,2564x1271
0.01602855,0.002966587,33,423,353,644,338,453539,343160,40,2564x1271
0.01697906,0.002700123,33,423,353,642,338,453143,342799,40,2564x1271
0.01700401,0.002663246,33,423,354,645,338,452529,342060,40,2564x1271
0.01600304,0.00276057,33,423,354,647,339,452107,341756,40,2564x1271
0.01700401,0.002722583,33,423,354,641,339,451899,341566,40,2564x1271
0.01584277,0.002781365,33,423,354,645,339,451977,341621,40,2564x1271
0.01716539,0.002832108,33,422,353,645,339,451935,341712,40,2564x1271
0.01600387,0.002740606,33,422,352,636,337,451759,341530,40,2564x1271
0.01653098,0.002670455,33,420,353,643,336,451445,341338,40,2564x1271
0.01656647,0.002687091,33,417,353,634,332,450993,341290,40,2564x1271
0.01691334,0.002861221,33,418,353,639,332,451949,342262,40,2564x1271
0.01700401,0.002664077,33,418,353,637,332,451571,342010,40,2564x1271
0.01578288,0.002684041,33,416,353,642,331,450095,341217,40,2564x1271
0.01722417,0.002723692,33,417,352,634,331,448491,340448,40,2564x1271
0.01591126,0.002820184,33,412,352,638,327,448243,340325,40,2564x1271
0.01656481,0.002789129,33,410,352,629,326,448065,340247,40,2564x1271
0.01656619,0.002707887,33,410,353,626,326,446511,339181,40,2564x1271
0.01697434,0.002656868,33,414,353,637,325,444955,338225,40,2564x1271
0.01615942,0.002674614,33,415,353,633,329,442849,336788,40,2564x1271
0.01684707,0.002652709,33,417,353,656,330,442017,336379,40,2564x1271
0.01700373,0.002719255,33,419,353,634,331,440609,335517,40,2564x1271
0.01600276,0.00273506,33,418,353,634,331,439211,334991,40,2564x1271
0.01641286,0.002685982,33,422,352,645,336,438497,334982,40,2564x1271
0.01661166,0.002759461,33,416,352,656,331,437309,334141,40,2564x1271
0.01698959,0.002650491,33,416,352,642,331,435667,333236,40,2564x1271
0.01609842,0.002695687,33,415,352,638,330,434489,332503,40,2564x1271
0.01692332,0.002750588,33,411,353,628,322,431249,325949,40,2564x1271
0.01621017,0.002639954,33,410,354,634,322,430179,326427,40,2564x1271
0.01678053,0.002625536,33,417,354,632,321,428321,325163,40,2564x1271
0.01635296,0.00279828,33,417,354,630,326,427373,324611,40,2564x1271
0.01665381,0.002650768,33,417,354,635,326,425495,323534,40,2564x1271
0.01700512,0.002662691,33,417,354,625,326,424145,322639,40,2564x1271
0.01604103,0.002647995,33,417,354,627,326,422577,321669,40,2564x1271
0.01656647,0.00258949,33,410,354,637,321,419841,319993,40,2564x1271
0.01656675,0.002630804,33,410,354,635,321,418899,319523,40,2564x1271
0.01684097,0.002610286,33,410,354,647,321,417577,318802,40,2564x1271
0.01629252,0.002631081,33,410,354,625,321,415653,317534,40,2564x1271
0.01671509,0.002587826,33,412,353,634,321,414051,316423,40,2564x1271
0.01700373,0.002678773,33,412,352,628,320,412863,315634,40,2564x1271
0.01600304,0.00258034,33,407,352,619,316,411651,314869,40,2564x1271
0.01700373,0.00259254,33,408,352,620,315,410355,314038,40,2564x1271
0.0170054,0.002621931,33,407,353,615,315,408907,312976,40,2564x1271
0.01600332,0.002651877,33,411,354,625,314,406881,311652,40,2564x1271
0.01623263,0.002663522,33,411,353,631,318,406167,311425,40,2564x1271
0.01677443,0.002657977,33,409,354,617,317,404443,310231,40,2564x1271
0.01700346,0.00261389,33,410,354,615,318,402853,309452,40,2564x1271
0.01600526,0.002664909,33,417,354,636,324,402221,309403,40,2564x1271
0.01700152,0.00264855,33,416,354,635,324,400987,308622,40,2564x1271
0.01604852,0.002660195,33,415,354,643,324,399077,307395,40,2564x1271
0.01696187,0.002642449,33,416,354,633,324,397731,306442,40,2564x1271
0.01700124,0.002653541,33,416,354,642,324,395809,304996,40,2564x1271
0.01573686,0.002630804,33,416,354,640,324,394533,304205,40,2564x1271
0.01656619,0.002649659,33,418,353,642,324,393275,303490,40,2564x1271
0.01656675,0.002766392,33,417,352,632,323,391627,302192,40,2564x1271
0.01714542,0.00263524,33,418,352,640,324,390069,301213,40,2564x1271
0.01602467,0.002651877,33,415,351,640,324,387959,299720,40,2564x1271
0.01698377,0.002596977,33,397,349,628,312,383681,293029,40,2564x1271
0.01611312,0.002525439,33,377,349,618,301,382547,292617,40,2564x1271
0.01689587,0.00249577,33,381,349,597,300,382831,292893,40,2564x1271
0.01700484,0.002509911,33,379,350,617,300,382389,292481,40,2564x1271
0.01599999,0.002528766,33,383,350,617,300,382537,292600,40,2564x1271
0.016366,0.002487452,33,383,350,601,304,382831,292820,40,2564x1271
0.01664161,0.00248967,33,381,350,621,303,382683,292637,40,2564x1271
0.0164916,0.002488283,33,384,350,621,303,382825,292686,40,2564x1271
0.01656675,0.002521835,33,384,349,620,302,382921,292656,40,2564x1271
0.01656675,0.002519893,33,382,349,618,300,382297,292015,40,2564x1271
0.01739053,0.002502147,33,379,349,598,300,381899,291600,40,2564x1271
0.01600443,0.002489947,33,378,348,611,299,382255,291841,40,2564x1271
0.016305,0.002479966,33,378,348,606,297,381657,291404,40,2564x1271
0.01670233,0.002525717,33,379,348,611,298,381589,291534,40,2564x1271
0.0164306,0.002571744,33,382,347,606,302,381237,291696,40,2564x1271
0.01657645,0.002580894,33,380,346,612,301,380897,291498,40,2564x1271
0.01700429,0.002580062,33,378,345,612,300,380413,291207,40,2564x1271
0.01611977,0.002631913,33,378,343,591,300,379757,290538,40,2564x1271
0.016887,0.002541799,33,380,344,587,301,379295,290059,40,2564x1271
0.0162476,0.002543739,33,385,344,585,300,378193,289108,40,2564x1271
0.01675918,0.002599749,33,385,344,592,304,378995,289822,40,2564x1271
0.01700484,0.002634963,33,384,344,600,304,378469,289231,40,2564x1271
0.01600276,0.002563426,33,385,344,592,305,378577,289241,40,2564x1271
0.0170029,0.00262304,33,386,343,592,305,378449,288959,40,2564x1271
0.01606182,0.002563703,33,385,343,591,304,378013,288414,40,2564x1271
0.01656675,0.002593371,33,375,343,582,295,376491,287153,40,2564x1271
0.01738333,0.002479133,33,375,344,578,294,376387,287034,40,2564x1271
0.0160047,0.002525439,33,379,344,581,294,376157,286827,40,2564x1271
0.01631193,0.002532371,33,376,344,592,297,376239,286822,40,2564x1271
0.01670317,0.002534866,33,379,344,585,298,375855,286426,40,2564x1271
0.01700124,0.002596145,33,378,345,581,296,375837,286315,40,2564x1271
0.01600387,0.002582281,33,378,345,585,298,376261,286524,40,2564x1271
0.0165587,0.002587271,33,379,344,587,299,376219,286410,40,2564x1271
0.01656675,0.002500207,33,374,346,590,295,376241,286271,40,2564x1271
0.01688561,0.002540689,33,373,346,590,294,376399,286414,40,2564x1271
0.01624732,0.002597254,33,373,347,591,295,376345,286324,40,2564x1271
0.01676001,0.002581171,33,377,347,598,294,376227,286167,40,2564x1271
0.01637348,0.002590876,33,378,348,592,299,376451,286531,40,2564x1271
0.0166344,0.002585054,33,386,348,611,306,377975,288014,40,2564x1271
0.01700373,0.002606681,33,386,348,604,306,378253,288231,40,2564x1271
0.01606182,0.00281852,33,385,348,611,306,378581,288536,40,2564x1271
0.01656675,0.002583666,33,386,346,603,306,378381,288352,40,2564x1271
0.01738277,0.002593926,33,381,345,589,301,377303,287364,40,2564x1271
0.01575072,0.002602799,33,379,345,597,299,377153,286890,40,2564x1271
0.01656647,0.002547898,33,380,345,603,299,377339,287012,40,2564x1271
0.01670816,0.002551503,33,380,345,589,298,377561,287125,40,2564x1271
0.01642506,0.002552335,33,382,346,603,299,377623,287130,40,2564x1271
0.01656896,0.002587271,33,386,346,603,298,376983,286510,40,2564x1271
0.01701926,0.002583666,33,388,347,593,304,378819,287759,40,2564x1271
0.01611173,0.002537916,33,381,347,595,298,378327,287228,40,2564x1271
0.01687896,0.00259254,33,382,347,607,297,378433,287306,40,2564x1271
0.01625453,0.002544848,33,380,347,606,295,377935,286833,40,2564x1271
0.01675502,0.002547344,33,382,347,603,296,377497,286449,40,2564x1271
0.01637847,0.002534034,33,380,347,589,295,377367,286309,40,2564x1271
0.01662691,0.002631636,33,381,347,592,296,377705,286530,40,2564x1271
0.0165063,0.00261084,33,380,347,605,295,377217,286073,40,2564x1271
0.01656675,0.002538748,33,378,347,591,295,376991,285787,40,2564x1271
0.01656675,0.002549007,33,378,345,605,294,376797,285489,40,2564x1271
0.01656647,0.002541798,33,374,345,587,291,376761,285431,40,2564x1271
0.01681324,0.002519616,33,375,345,586,288,376561,285165,40,2564x1271
0.01632025,0.002563703,33,377,345,595,299,378249,287759,40,2564x1271
0.01668819,0.002500206,33,357,352,616,303,380579,292476,40,2564x1271
0.0164453,0.00281963,33,416,351,626,325,382971,294587,40,2564x1271
0.01656619,0.002771383,33,414,351,636,325,382153,293837,40,2564x1271
0.01656675,0.002674059,33,414,351,636,326,381701,293538,40,2564x1271
0.01656675,0.002718146,33,417,351,638,328,382155,293992,40,2564x1271
0.01656675,0.002772493,33,417,350,639,329,382113,293892,40,2564x1271
0.01656647,0.002717869,33,416,350,638,328,380921,291612,40,2564x1271
0.0167467,0.002753638,33,417,350,653,330,380439,291151,40,2564x1271
0.01638707,0.002740051,33,416,350,650,327,380657,291257,40,2564x1271
0.01662026,0.002669622,33,416,350,627,327,380849,291479,40,2564x1271
0.01700429,0.002665741,33,417,348,633,327,381167,291725,40,2564x1271
0.01607541,0.002690141,33,417,349,639,325,380895,291408,40,2564x1271
0.01693247,0.002585885,33,412,349,636,322,380177,291039,40,2564x1271
0.01620046,0.0026394,33,407,349,646,319,381389,293417,40,2564x1271
0.01680548,0.002594203,33,408,349,630,319,381719,293806,40,2564x1271
0.01632829,0.002680713,33,407,349,632,320,382069,294027,40,2564x1271
0.01656647,0.00259254,33,408,348,632,321,382559,294530,40,2564x1271
0.01656702,0.002651877,33,406,348,631,320,382241,294142,40,2564x1271
0.01656619,0.002617217,33,406,348,630,319,382021,293966,40,2564x1271
0.01656647,0.002618604,33,406,348,627,317,381949,293838,40,2564x1271
0.01656702,0.002593926,33,405,348,646,316,382285,294080,40,2564x1271
0.01656675,0.002653818,33,405,349,626,316,382315,293995,40,2564x1271
0.01656675,0.002610563,33,413,349,647,317,382151,293840,40,2564x1271
0.01656647,0.002682932,33,412,349,631,321,382179,293861,40,2564x1271
0.01717759,0.002638014,33,411,349,651,321,382639,294371,40,2564x1271
0.0160036,0.002651045,33,416,349,635,325,383389,295074,40,2564x1271
0.01651878,0.002652986,33,415,349,635,325,383361,295131,40,2564x1271
0.01656813,0.002651877,33,415,348,635,325,382761,294595,40,2564x1271
0.01656536,0.002703728,33,416,348,635,324,383459,295207,40,2564x1271
0.01656675,0.002631358,33,414,349,635,323,383619,295311,40,2564x1271
0.01656647,0.002643281,33,416,349,632,320,383155,294358,40,2564x1271
0.01656647,0.002708164,33,416,349,626,317,383105,294281,40,2564x1271
0.01667516,0.002590876,33,415,349,626,316,383285,294385,40,2564x1271
0.01645833,0.002622486,33,416,349,633,316,383297,294292,40,2564x1271
0.01656702,0.002614722,33,416,348,625,317,382601,293594,40,2564x1271
0.01698737,0.002630526,33,414,349,629,317,382841,294246,40,2564x1271
0.01614584,0.002553443,33,409,348,630,313,382599,294170,40,2564x1271
0.01685983,0.002653818,33,407,348,619,309,382751,294303,40,2564x1271
0.01627366,0.0026455,33,406,348,618,309,382885,294479,40,2564x1271
0.01673311,0.002552889,33,406,348,619,309,383189,294746,40,2564x1271
0.01639982,0.002639399,33,408,347,625,310,383001,294568,40,2564x1271
0.0166075,0.002616663,33,408,347,617,309,383051,294501,40,2564x1271
0.0170054,0.002585885,33,408,347,616,309,382765,294203,40,2564x1271
0.01608706,0.002571744,33,408,347,624,309,383033,294416,40,2564x1271
0.01691916,0.0026455,33,407,347,604,307,382867,294204,40,2564x1271
0.01621433,0.002565921,33,408,347,622,307,382331,293612,40,2564x1271
0.01679384,0.002587271,33,406,347,614,307,382429,293591,40,2564x1271
0.01633966,0.002576735,33,406,346,618,307,382381,293492,40,2564x1271
0.01666601,0.002535698,33,403,346,610,303,383097,294164,40,2564x1271
0.01700484,0.002612781,33,408,346,615,308,383801,294808,40,2564x1271
0.0160291,0.002620822,33,407,346,619,308,383673,294686,40,2564x1271
0.01697906,0.002580894,33,408,346,619,308,383905,294919,40,2564x1271
0.01615416,0.002641618,33,410,346,623,308,383605,294548,40,2564x1271
0.01685456,0.002678496,33,410,346,612,308,383653,294574,40,2564x1271
0.01627893,0.002888117,33,409,346,619,308,383259,294134,40,2564x1271
0.01672646,0.002684319,33,409,346,615,308,383193,294009,40,2564x1271
0.01640703,0.002613613,33,409,346,619,308,383151,293859,40,2564x1271
0.0166014,0.002648273,33,407,346,619,308,383133,293721,40,2564x1271
0.01653153,0.002597531,33,406,347,619,307,382657,293180,40,2564x1271
0.01656702,0.002605018,33,414,345,614,307,382291,292764,40,2564x1271
0.01656647,0.002544848,33,394,344,611,303,379625,286920,40,2564x1271
0.01734978,0.002484401,33,380,347,608,296,379279,287339,40,2564x1271
0.01601996,0.002501038,33,385,347,615,299,380367,288017,40,2564x1271
0.01633023,0.002552889,33,384,347,614,298,382031,289034,40,2564x1271
0.01666157,0.002511298,33,379,348,606,296,383721,290040,40,2564x1271
0.01702508,0.002522666,33,379,348,608,296,385041,290703,40,2564x1271
0.0160133,0.00245307,33,375,348,613,294,386135,291239,40,2564x1271
0.01697268,0.00253348,33,375,348,595,294,387525,292003,40,2564x1271
0.01616081,0.002451961,33,375,348,609,294,389249,293026,40,2564x1271
0.02172132,0.002500206,33,375,348,612,293,390045,293364,40,2564x1271
0.01712712,0.002501871,33,374,349,608,293,391695,294296,40,2564x1271
0.01600637,0.002247885,33,379,348,607,293,393105,294891,40,2564x1271
0.01700124,0.002283653,33,380,348,604,294,395491,296738,40,2564x1271
