Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,12.8,12.82,4.35,12.7,0,,,,,,,,
50,13.47,13.52,5.24,13.47,0,,,,,,,,
75,16.25,16.24,6.71,16.52,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,8.33,6.66,2.88,9.7,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,8.33,6.55,2.92,7.98,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,8.33,6.28,2.78,7.86,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,8.34,6.14,3.01,8.49,0,273,64,0,231,not valid frame,not valid frame,188742,190523
0.03,10.22,7.27,3.01,8.49,0,274,64,0,231,not valid frame,not valid frame,188742,190535
0.04,15.57,10.22,2.49,12.7,0,276,64,38,231,not valid frame,not valid frame,188742,190559
0.06,10.64,14.95,4.42,15.22,0,273,64,0,231,not valid frame,not valid frame,188742,190523
0.07,10.9,10.62,4.24,10.54,0,396,64,38,231,not valid frame,not valid frame,188742,202781
0.08,11.12,10.95,4.2,10.95,0,397,64,0,231,not valid frame,not valid frame,188742,202657
0.09,11.18,11.13,4.29,11.14,0,397,64,0,231,not valid frame,not valid frame,188742,202657
0.1,11.97,11.16,4.41,11.2,0,398,64,0,231,not valid frame,not valid frame,188742,202727
0.11,11.87,12.04,4.29,11.95,0,398,64,38,231,not valid frame,not valid frame,188742,202729
0.13,11.7,12.02,4.61,12.8,0,398,64,0,231,not valid frame,not valid frame,188742,202729
0.14,11.35,11.7,4.31,10.8,0,398,64,38,231,not valid frame,not valid frame,188742,202729
0.15,12.26,11.31,4.36,11.39,0,400,64,38,231,not valid frame,not valid frame,188742,202763
0.16,11.32,12.18,4.21,12.15,0,398,64,0,231,not valid frame,not valid frame,188742,202731
0.17,14.38,11.4,4.24,11.39,0,398,64,38,231,not valid frame,not valid frame,188742,202731
0.19,18.35,15.04,4.42,14.34,0,398,64,38,231,not valid frame,not valid frame,188742,202731
0.21,11.22,17.83,4.32,18.44,0,400,64,38,231,not valid frame,not valid frame,188742,202755
0.22,15.91,11.14,4.33,11.18,0,400,64,38,231,not valid frame,not valid frame,188742,202755
0.23,18.27,16.56,4.51,15.87,0,400,64,0,231,not valid frame,not valid frame,188742,202755
0.25,16.83,18.15,4.45,18.33,0,399,64,38,231,not valid frame,not valid frame,188742,202743
0.27,14.8,16.19,4.23,16.81,0,398,64,0,231,not valid frame,not valid frame,188742,202731
0.28,10.81,14.76,4.3,14.87,0,398,64,0,231,not valid frame,not valid frame,188742,202731
0.29,11.94,10.95,4.4,10.68,0,398,64,0,231,not valid frame,not valid frame,188742,202731
0.31,11.76,11.85,4.34,11.97,0,401,64,0,231,not valid frame,not valid frame,188742,202767
0.32,11.97,11.81,4.24,11.7,0,400,64,38,231,not valid frame,not valid frame,188742,202755
0.33,11.68,11.96,4.2,11.95,0,399,64,0,231,not valid frame,not valid frame,188742,202743
0.34,11.67,11.65,4.35,11.75,0,398,64,38,231,not valid frame,not valid frame,188742,202731
0.35,14.13,11.61,4.64,11.65,0,398,64,38,231,not valid frame,not valid frame,188742,202731
0.37,15.84,17.88,8.35,18.27,0,397,64,0,231,not valid frame,not valid frame,188742,202717
0.38,11.64,11.98,4.27,11.73,0,399,64,38,231,not valid frame,not valid frame,188742,202741
0.39,11.46,11.82,4.34,11.62,0,399,64,0,231,not valid frame,not valid frame,188742,202741
0.41,12.38,11.48,4.53,11.64,0,399,64,0,231,not valid frame,not valid frame,188742,202743
0.42,10.93,12.24,6.72,12.36,0,399,64,0,231,not valid frame,not valid frame,188742,202743
0.43,14.36,11.05,4.34,10.69,0,399,64,0,231,not valid frame,not valid frame,188742,202741
0.44,13.95,15.14,4.33,14.65,0,400,64,0,231,not valid frame,not valid frame,188742,202753
0.46,11.02,13.29,3.49,13.34,0,400,64,0,231,not valid frame,not valid frame,188742,202753
0.47,11.1,10.9,2.88,11.05,0,398,64,0,231,not valid frame,not valid frame,188742,202729
0.48,10.93,11.11,2.68,11.07,0,399,64,0,231,not valid frame,not valid frame,188742,202741
0.49,10.85,10.84,2.87,10.97,0,400,64,0,231,not valid frame,not valid frame,188742,202751
0.5,15.58,12.29,2.81,10.81,0,397,64,38,231,not valid frame,not valid frame,188742,202715
0.52,11,14.14,2.9,15.69,0,398,64,0,231,not valid frame,not valid frame,188742,202727
0.53,10.94,11.09,2.75,10.84,0,398,64,0,231,not valid frame,not valid frame,188742,202727
0.54,10.97,10.94,3.49,11.02,0,396,64,38,231,not valid frame,not valid frame,188742,202703
0.55,10.92,10.89,2.89,11.03,0,402,64,0,231,not valid frame,not valid frame,188742,202775
0.56,10.75,10.85,2.9,11,0,399,64,38,231,not valid frame,not valid frame,188742,202739
0.57,10.9,10.84,2.81,10.59,0,400,64,0,231,not valid frame,not valid frame,188742,202751
0.58,17.8,10.77,2.85,10.95,0,399,64,0,231,not valid frame,not valid frame,188742,202739
0.6,18.64,18.9,2.88,17.8,0,398,64,0,231,not valid frame,not valid frame,188742,202727
0.62,14.01,18.35,2.95,18.68,0,399,64,38,231,not valid frame,not valid frame,188742,202739
0.63,12.06,13.57,2.98,14,0,397,64,38,231,not valid frame,not valid frame,188742,202715
0.65,16.85,12.1,3.5,12.01,0,399,64,38,231,not valid frame,not valid frame,188742,202739
0.66,22.91,17.61,3.81,17.13,0,797680,71,0,231,not valid frame,not valid frame,193350,409
0.68,18.41,22.68,3.72,22.58,0,797680,71,40,231,not valid frame,not valid frame,193350,409
0.7,16.62,18.71,4.48,18.73,0,802544,74,0,231,not valid frame,not valid frame,192022,415
0.72,10.94,15.51,4.73,16.53,0,802544,74,0,231,not valid frame,not valid frame,192022,415
0.73,11.53,11.09,4.49,10.93,0,805616,78,0,231,not valid frame,not valid frame,192354,416
0.74,17.87,11.44,4.43,11.56,0,415,78,45,231,not valid frame,not valid frame,192354,206473
0.76,11.25,17.97,6.65,18.49,0,806128,78,46,231,not valid frame,not valid frame,192354,416
0.77,11.3,11.22,4.55,10.63,0,807664,82,47,231,not valid frame,not valid frame,193010,424
0.78,17.09,13.33,8.01,14.81,0,809200,93,0,231,not valid frame,not valid frame,202558,440
0.8,11.07,15.13,4.52,13.55,0,809200,93,51,231,not valid frame,not valid frame,202558,440
0.81,15.81,10.95,4.67,11.03,0,812016,87,51,231,not valid frame,not valid frame,193458,430
0.83,11.25,15.96,4.82,15.9,0,816112,91,0,231,not valid frame,not valid frame,194114,438
0.84,11.53,11.08,4.59,11.1,0,821488,91,0,231,not valid frame,not valid frame,197550,439
0.85,11.31,11.61,5.14,11.6,0,823792,94,53,231,not valid frame,not valid frame,194442,441
0.86,11.09,11.43,4.64,11.4,0,823792,94,0,231,not valid frame,not valid frame,194442,441
0.87,12.72,10.87,4.63,10.96,0,826608,93,55,231,not valid frame,not valid frame,194114,443
0.88,10.97,12.75,8.08,12.77,0,826608,93,55,231,not valid frame,not valid frame,194114,443
0.9,12.65,12.31,4.48,10.94,0,831472,93,55,231,not valid frame,not valid frame,189834,442
0.91,11.22,11.28,4.74,12.6,0,832752,103,0,231,not valid frame,not valid frame,202818,457
0.92,11.3,11.27,4.76,11.26,0,835056,97,0,231,not valid frame,not valid frame,193806,449
0.93,10.97,11.4,4.56,11.31,0,835056,97,55,231,not valid frame,not valid frame,193806,449
0.94,11.42,10.95,4.55,10.99,0,446,94,0,231,not valid frame,not valid frame,193474,207715
0.95,11,11.35,4.74,11.36,0,446,94,56,231,not valid frame,not valid frame,193474,207715
0.96,11.26,11.17,4.55,11.01,0,835568,94,0,231,not valid frame,not valid frame,193474,449
0.98,13.23,10.91,4.66,11.26,0,836080,94,0,231,not valid frame,not valid frame,193474,447
0.99,10.93,13.34,8.35,13.22,0,836080,94,0,231,not valid frame,not valid frame,193474,447
1,11,10.93,4.44,10.92,0,451,94,55,231,not valid frame,not valid frame,193474,207775
1.01,14.47,14.24,8.46,14.95,0,443,92,0,231,not valid frame,not valid frame,193026,207267
1.03,18.32,11.62,4.55,10.48,0,447,92,54,231,not valid frame,not valid frame,193026,207315
1.04,11.92,18.69,4.89,18.39,0,444,90,0,231,not valid frame,not valid frame,193022,207311
1.06,11.09,11.22,4.63,11.91,0,443,90,55,231,not valid frame,not valid frame,193022,207297
1.07,11.35,11.27,3.84,10.79,0,443,90,56,231,not valid frame,not valid frame,193022,207297
1.08,11.27,11.14,3.06,11.37,0,444,92,0,231,not valid frame,not valid frame,193470,207733
1.09,11.18,11.21,3.04,11.24,0,836592,94,0,231,not valid frame,not valid frame,193798,447
1.1,11.23,11.36,3.15,11.19,0,837104,94,56,231,not valid frame,not valid frame,193798,448
1.11,12.46,12.5,4.16,12.42,0,837616,94,55,231,not valid frame,not valid frame,193798,448
1.12,13.68,11.38,3.04,11.43,0,838128,94,0,231,not valid frame,not valid frame,193798,448
1.14,11.45,13.31,3.23,13.73,0,445,92,55,231,not valid frame,not valid frame,193350,207635
1.15,14.84,11.53,3.82,11.32,0,445,92,55,231,not valid frame,not valid frame,193350,207645
1.16,19.32,15.92,3.08,14.8,0,446,92,55,231,not valid frame,not valid frame,193350,207649
1.18,16.49,19.01,2.96,19.23,0,444,92,0,231,not valid frame,not valid frame,193350,207625
1.2,18.66,16.73,3.05,16.57,0,445,92,55,231,not valid frame,not valid frame,193350,207641
1.22,14.08,18.33,3.04,18.62,0,444,92,55,231,not valid frame,not valid frame,193350,207629
1.23,11.08,13.46,3.12,14.11,0,445,92,0,231,not valid frame,not valid frame,193350,207641
1.24,11.15,10.97,3.85,11.15,0,443,92,0,231,not valid frame,not valid frame,193350,207615
1.25,11.41,11.2,4.94,13.11,0,445,92,55,231,not valid frame,not valid frame,193350,207637
1.27,10.87,11.39,2.86,9.42,0,445,92,0,231,not valid frame,not valid frame,193350,207637
1.28,11.15,10.85,3.82,10.89,0,445,92,0,231,not valid frame,not valid frame,193350,207637
1.29,11.22,11.29,2.97,11.09,0,446,92,0,231,not valid frame,not valid frame,193350,207649
1.3,14.73,11.07,3.89,11.27,0,444,92,0,231,not valid frame,not valid frame,193350,207623
1.31,10.97,14.73,3.63,14.74,0,443,92,55,231,not valid frame,not valid frame,193350,207611
1.33,13.43,13.08,6.14,12.69,0,444,92,0,231,not valid frame,not valid frame,193350,207623
1.34,10.84,11.21,4.5,11.9,0,444,92,1,231,not valid frame,not valid frame,193350,207623
1.35,14.99,14.62,4.48,10.86,0,448,92,0,231,not valid frame,not valid frame,193350,207671
1.36,19.13,12.39,6.34,14.88,0,445,92,56,231,not valid frame,not valid frame,193350,207635
1.38,18.85,18.94,4.74,19.08,0,41110668,98,0,231,not valid frame,not valid frame,193798,842512
1.4,16.61,18.28,4.99,18.99,0,41110764,98,0,231,not valid frame,not valid frame,193798,847184
1.42,17.81,16.85,4.87,16.57,0,41110764,98,56,231,not valid frame,not valid frame,193798,847184
1.44,11.49,17.36,4.64,17.87,0,41110860,98,0,231,not valid frame,not valid frame,193798,452
1.45,10.79,11.25,4.65,11.48,0,41110860,98,56,231,not valid frame,not valid frame,193798,452
1.46,13.19,13.18,6.43,12.83,0,41110908,98,0,231,not valid frame,not valid frame,193798,453
1.47,10.91,10.8,4.7,11.1,0,41110908,98,0,231,not valid frame,not valid frame,193798,453
1.48,10.95,10.9,4.66,10.85,0,41110908,98,56,231,not valid frame,not valid frame,193798,453
1.49,11.08,11.12,4.83,11.17,0,41110908,98,1,231,not valid frame,not valid frame,193798,453
1.51,14.83,14.9,4.81,10.92,0,41110908,98,0,231,not valid frame,not valid frame,193798,457
1.52,11.61,10.99,6.71,14.89,0,41110956,100,1,231,not valid frame,not valid frame,193798,851088
1.53,13.77,12.04,4.01,11.19,0,41110956,100,0,231,not valid frame,not valid frame,193798,851088
1.55,11.37,13.38,3.41,13.73,0,41111004,100,0,231,not valid frame,not valid frame,193798,851888
1.56,11.14,11.35,3.25,11.54,0,41111148,103,0,231,not valid frame,not valid frame,193798,854544
1.57,11.62,11.08,3.2,11.15,0,41111292,103,56,231,not valid frame,not valid frame,193798,856432
1.58,15.89,15.22,3.46,11.55,0,41111580,103,56,231,not valid frame,not valid frame,193798,858096
1.6,12.3,12.69,6.56,15.95,0,41111580,103,56,231,not valid frame,not valid frame,193798,858096
1.61,11.92,12.07,4.1,12.32,0,41111676,103,56,231,not valid frame,not valid frame,193798,459
1.62,11.99,12.22,3.54,11.89,0,41111772,104,0,231,not valid frame,not valid frame,193798,858352
1.63,11.35,11.7,4.02,12.02,0,41111772,104,0,231,not valid frame,not valid frame,193798,858608
1.64,14.39,11.4,3.63,11.35,0,41111772,105,0,231,not valid frame,not valid frame,193798,859376
1.66,11.23,14.54,4.24,14.6,0,41111772,105,56,231,not valid frame,not valid frame,193798,859376
1.67,18.83,10.95,4.22,11,0,41111772,105,0,231,not valid frame,not valid frame,193798,859632
1.69,11.55,19.03,5.85,18.84,0,41111772,105,56,231,not valid frame,not valid frame,193798,860144
1.7,10.95,11.3,3.2,11.54,0,41111772,105,56,231,not valid frame,not valid frame,193798,860144
1.71,11.15,11.07,4.05,10.94,0,41111772,105,56,231,not valid frame,not valid frame,193798,462
1.72,14.41,11.19,3.28,11.15,0,41111772,104,0,231,not valid frame,not valid frame,193798,461
1.74,11.07,14.33,3.29,14.41,0,212505860,104,0,231,not valid frame,not valid frame,193798,41111772
1.75,11.21,10.91,3.1,11,0,212500372,104,0,231,not valid frame,not valid frame,193798,41111772
1.76,11.46,11.34,3.19,11.28,0,212500372,104,56,231,not valid frame,not valid frame,193798,41111772
1.77,10.91,11.33,3.97,11.44,0,41111772,104,56,231,not valid frame,not valid frame,193798,460
1.78,10.9,10.9,3.12,10.87,0,41111772,104,56,231,not valid frame,not valid frame,193798,460
1.79,11.08,11.06,3.28,11.02,0,41111772,104,56,231,not valid frame,not valid frame,193798,461
1.8,10.95,10.95,3.22,11.01,0,41111772,104,0,231,not valid frame,not valid frame,193798,460
1.81,10.87,10.94,3.08,10.92,0,41111772,104,0,231,not valid frame,not valid frame,193798,460
1.82,11.05,11.01,3.14,10.93,0,41111772,104,56,231,not valid frame,not valid frame,193798,460
1.84,10.97,10.91,3.28,11.07,0,41111772,103,56,231,not valid frame,not valid frame,193798,459
1.85,11.13,11.19,3.14,10.96,0,41111772,103,0,231,not valid frame,not valid frame,193798,460
1.86,11.08,11.02,4.01,11.12,0,41111772,103,56,231,not valid frame,not valid frame,193798,458
1.87,11,10.96,3.23,11.11,0,41111772,104,0,231,not valid frame,not valid frame,193798,460
1.88,10.97,10.98,3.91,10.95,0,41111772,102,56,231,not valid frame,not valid frame,193798,460
1.89,15.15,11.47,3.15,10.99,0,41111772,102,0,231,not valid frame,not valid frame,193798,459
1.91,14.71,18.34,3.34,15.12,0,41111772,102,0,231,not valid frame,not valid frame,193798,461
1.92,11.38,11.29,6.35,14.65,0,41111772,102,56,231,not valid frame,not valid frame,193798,458
1.93,11.05,11.2,3.13,11.29,0,41111772,102,56,231,not valid frame,not valid frame,193798,458
1.94,11.25,10.97,3.24,11.1,0,41111772,102,0,231,not valid frame,not valid frame,193798,461
1.95,12.87,12.95,3.45,11.2,0,41111772,102,56,231,not valid frame,not valid frame,193798,462
1.97,16.16,11.17,5.1,12.95,0,41111772,102,56,231,not valid frame,not valid frame,193798,458
1.98,11.18,16.24,7.09,16.23,0,41111772,101,56,231,not valid frame,not valid frame,193798,459
1.99,11.52,11.12,3.28,11.22,0,41111772,101,0,231,not valid frame,not valid frame,193798,458
2.01,11.5,11.53,4.13,11.49,0,41111772,101,55,231,not valid frame,not valid frame,193798,458
2.02,11.58,11.56,3.12,11.56,0,41111772,101,0,231,not valid frame,not valid frame,193798,459
2.03,11.52,11.51,3.04,11.41,0,41111628,90,0,231,not valid frame,not valid frame,193350,441
2.04,12.85,12.7,3.04,11.58,0,41111484,90,55,231,not valid frame,not valid frame,193350,443
2.05,11.68,11.71,3.16,12.93,0,41111340,90,0,231,not valid frame,not valid frame,193350,444
2.06,11.88,11.74,3.12,11.66,0,41111196,90,55,231,not valid frame,not valid frame,193350,444
2.08,12.09,12.03,3.38,11.93,0,41111052,90,0,231,not valid frame,not valid frame,193350,442
2.09,12.14,12.16,3.51,12.16,0,41110908,90,0,231,not valid frame,not valid frame,193350,443
2.1,11.61,11.95,3.88,12.1,0,41110908,90,55,231,not valid frame,not valid frame,193350,443
2.11,11.19,11.65,3.06,11.5,0,41110908,90,0,231,not valid frame,not valid frame,193350,443
2.12,13.34,13.02,5.3,12.66,0,41110908,90,0,231,not valid frame,not valid frame,193350,443
2.14,10.93,11.43,3.44,11.88,0,41110908,90,0,231,not valid frame,not valid frame,193350,443
2.15,11.2,11.07,3.02,10.97,0,41110908,98,0,231,not valid frame,not valid frame,193350,449
2.16,11.02,11.1,3.1,11.15,0,41110908,98,55,231,not valid frame,not valid frame,193350,448
2.17,11.14,10.96,3.25,11.05,0,41110908,98,55,231,not valid frame,not valid frame,193350,451
2.18,11.05,11.23,3.09,11.14,0,41110908,98,0,231,not valid frame,not valid frame,193350,452
2.19,10.87,10.85,3.06,11.07,0,41110908,98,0,231,not valid frame,not valid frame,193350,451
2.2,11.07,11.01,3.22,10.84,0,41110908,98,55,231,not valid frame,not valid frame,193350,450
2.21,14.9,11.08,3.04,11.13,0,41110908,98,0,231,not valid frame,not valid frame,193350,450
2.23,11.05,14.98,3.89,14.91,0,41110908,98,0,231,not valid frame,not valid frame,193350,448
2.24,11.21,11,3.06,10.96,0,41110908,98,0,231,not valid frame,not valid frame,193350,450
2.25,11.21,11.25,3.1,11.23,0,41110908,98,55,231,not valid frame,not valid frame,193350,450
2.26,10.83,10.98,2.98,11.06,0,41110908,98,55,231,not valid frame,not valid frame,193350,453
2.27,10.94,10.88,3.05,10.93,0,41110908,98,55,231,not valid frame,not valid frame,193350,452
2.28,18.24,11.44,3.07,11.02,0,41110908,98,0,231,not valid frame,not valid frame,193350,450
2.3,11.39,17.69,3.19,18.22,0,41110908,98,0,231,not valid frame,not valid frame,193350,446
2.31,11.95,11.55,3.09,11.36,0,41110908,98,55,231,not valid frame,not valid frame,193350,446
2.33,11.65,12.07,3.22,11.98,0,41110908,98,0,231,not valid frame,not valid frame,193350,446
2.34,11.63,11.35,3.27,11.64,0,41110908,98,0,231,not valid frame,not valid frame,193350,447
2.35,14.65,11.87,3.89,11.65,0,41110908,98,0,231,not valid frame,not valid frame,193350,448
2.36,11.03,14.51,4.77,14.66,0,41110908,98,0,231,not valid frame,not valid frame,193350,448
2.37,11.27,10.94,3.86,11.04,0,41110860,97,55,231,not valid frame,not valid frame,193350,446
2.39,13.14,12.91,3.09,11.19,0,41110860,97,0,231,not valid frame,not valid frame,193350,446
2.4,11.52,11.89,3.1,13.14,0,41110812,97,55,231,not valid frame,not valid frame,193350,443
2.41,11.35,11.46,3.31,12.23,0,41110764,97,0,231,not valid frame,not valid frame,193350,444
2.42,14.35,11.21,3.07,10.62,0,41110716,97,0,231,not valid frame,not valid frame,193350,445
2.44,12.29,14.42,3.11,14.5,0,41110668,97,0,231,not valid frame,not valid frame,193350,445
2.45,11.42,12.42,3.81,12.49,0,41110620,97,55,231,not valid frame,not valid frame,193350,444
2.46,11.15,11.23,3.93,11.23,0,445,97,0,231,not valid frame,not valid frame,193350,207655
2.47,11.65,11.11,3.18,11.1,0,445,97,0,231,not valid frame,not valid frame,193350,207655
2.48,11.67,11.73,3.11,11.66,0,444,97,0,231,not valid frame,not valid frame,193350,207643
2.49,11.62,11.62,3.04,11.56,0,447,97,0,231,not valid frame,not valid frame,193350,207679
2.51,11.85,11.53,3.2,11.75,0,444,97,0,231,not valid frame,not valid frame,193350,207643
2.52,16.04,13.97,7.99,15.84,0,444,97,55,231,not valid frame,not valid frame,193350,207641
2.53,20.72,15.23,5.35,13.99,0,447,97,0,231,not valid frame,not valid frame,193350,207919
2.55,19.03,20.67,3.49,18.64,0,447,97,55,231,not valid frame,not valid frame,193350,207919
2.57,12.35,18.25,3.22,19.04,0,844912,99,55,231,not valid frame,not valid frame,193350,447
2.59,11.88,11.89,4.91,12.64,0,845936,99,55,231,not valid frame,not valid frame,193350,448
2.6,12.23,11.82,4.77,11.81,0,846448,99,0,231,not valid frame,not valid frame,193350,449
2.61,21.03,12.42,4.85,12.32,0,846448,99,0,231,not valid frame,not valid frame,193350,449
2.63,19.26,21.78,3.66,20.7,0,447,99,55,231,not valid frame,not valid frame,193350,207777
2.65,19.86,19.19,3.09,19.28,0,449,99,0,231,not valid frame,not valid frame,193350,207801
2.67,15.1,19.59,4.03,19.91,0,846704,100,0,231,not valid frame,not valid frame,193350,453
2.69,11.45,14.72,3.28,15.04,0,846960,100,55,231,not valid frame,not valid frame,193350,450
2.7,11.57,11.28,3.05,11.38,0,847472,100,0,231,not valid frame,not valid frame,193350,450
2.71,11.47,11.71,3.14,11.59,0,847472,100,0,231,not valid frame,not valid frame,193350,450
2.72,11.51,11.43,3.25,11.48,0,451,100,55,231,not valid frame,not valid frame,193350,207819
2.73,17.97,11.44,3.16,11.54,0,450,100,0,231,not valid frame,not valid frame,193350,207807
2.75,13.43,18.69,3.14,17.9,0,451,100,0,231,not valid frame,not valid frame,193350,207819
2.76,11.42,12.6,3.12,13.44,0,449,100,0,231,not valid frame,not valid frame,193350,207795
2.77,11.5,11.54,3.03,11.43,0,452,100,0,231,not valid frame,not valid frame,193350,207831
2.79,11.23,11.36,3.22,11.65,0,449,100,55,231,not valid frame,not valid frame,193350,207795
2.8,10.87,11.21,3.03,11.22,0,451,100,0,231,not valid frame,not valid frame,193350,207819
2.81,10.96,10.96,2.98,10.88,0,450,100,1,231,not valid frame,not valid frame,193350,207807
2.82,12.35,11.21,3.89,10.95,0,449,100,56,231,not valid frame,not valid frame,193350,207799
2.83,12.91,12.27,4.36,12.32,0,450,100,56,231,not valid frame,not valid frame,193350,207807
2.84,20,14.06,3.75,13.21,0,41110668,106,56,231,not valid frame,not valid frame,193798,848656
2.86,17.86,19.7,3.74,19.6,0,41110716,106,0,231,not valid frame,not valid frame,193798,850992
2.88,15.42,17.56,4.01,17.97,0,41110812,106,56,231,not valid frame,not valid frame,193798,855664
2.9,15.97,15.08,3.81,15.39,0,41110812,106,56,231,not valid frame,not valid frame,193798,855664
2.91,18.87,16.65,3.69,15.91,0,41110860,106,0,231,not valid frame,not valid frame,193798,460
2.93,12.47,18.65,3.46,18.79,0,41110908,106,0,231,not valid frame,not valid frame,193798,458
2.94,10.92,11.72,3.16,12.52,0,41110908,106,56,231,not valid frame,not valid frame,193798,458
2.96,11.19,10.8,4.15,11.02,0,41110908,106,0,231,not valid frame,not valid frame,193798,460
2.97,11.27,11.39,4,11.21,0,41110908,106,56,231,not valid frame,not valid frame,193798,459
2.98,11.04,11.13,3.14,11.13,0,41110908,106,56,231,not valid frame,not valid frame,193798,457
2.99,10.99,10.91,3.08,11.18,0,41110908,106,56,231,not valid frame,not valid frame,193798,464
3,11.04,10.95,3.09,11,0,41110908,106,56,231,not valid frame,not valid frame,193798,458
3.01,11.03,11.22,3.24,11.14,0,41110908,106,56,231,not valid frame,not valid frame,193798,459
3.02,12.76,11.01,3.18,10.93,0,41110908,106,56,231,not valid frame,not valid frame,193798,459
3.04,10.97,12.63,3.16,12.78,0,41110908,106,0,231,not valid frame,not valid frame,193798,459
3.05,11.25,11.27,3.11,10.91,0,41110908,106,56,231,not valid frame,not valid frame,193798,458
3.06,10.95,10.95,3.15,11.29,0,41110908,106,56,231,not valid frame,not valid frame,193798,458
3.07,15.8,10.96,3.13,10.92,0,41110908,106,56,231,not valid frame,not valid frame,193798,459
3.08,18.81,16.76,3.24,15.79,0,41110908,106,0,231,not valid frame,not valid frame,193798,460
3.1,16.53,18.74,4.13,18.77,0,41110908,108,56,231,not valid frame,not valid frame,193798,856432
3.12,21.73,16.65,4.05,16.7,0,41110908,108,56,231,not valid frame,not valid frame,193798,856432
3.14,19.61,22.37,4.93,21.81,0,41110908,108,55,231,not valid frame,not valid frame,193798,856944
3.16,17.49,19.17,5.21,20.13,0,41110908,108,0,231,not valid frame,not valid frame,193798,857456
3.18,19.17,17.59,5.06,16.87,0,41110908,106,55,231,not valid frame,not valid frame,193470,458
3.2,14.67,18.79,4.73,19.09,0,41110908,106,0,231,not valid frame,not valid frame,193470,460
3.21,11.42,14.14,4.81,14.74,0,41110908,106,0,231,not valid frame,not valid frame,193470,460
3.22,11.7,11.27,4.84,11.46,0,41110908,103,51,231,not valid frame,not valid frame,193142,453
3.24,11.74,11.84,5.35,11.75,0,41110908,98,0,231,not valid frame,not valid frame,189742,448
3.25,19.43,12.55,4.76,11.6,0,41110908,98,50,231,not valid frame,not valid frame,189742,448
3.27,14.95,20.43,6.78,21.31,0,41110908,96,48,231,not valid frame,not valid frame,189738,446
3.28,11.23,13.07,8.74,13.18,0,41110908,96,48,231,not valid frame,not valid frame,189738,446
3.29,11.66,11.19,4.95,11.23,0,41110908,93,0,231,not valid frame,not valid frame,186786,441
3.3,11.19,11.65,4.81,11.67,0,41110908,93,0,231,not valid frame,not valid frame,186786,441
