Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
25,11.88,11.9,4.62,11.65,0,,,,,,,,
50,12.17,12.17,5.25,12.23,0,,,,,,,,
75,13.64,13.67,5.99,14.32,0,,,,,,,,
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),Context,DrawPrimitiveCalls,MeshDrawCalls,LastRendered,LightsInScene,ShadowedLight,UnshadowedLight,StaticMeshTriangles,Triangles
0,12.12,8.12,1.98,0,0,not valid frame,not valid frame,15,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.01,9.55,10.68,2.17,14.73,0,not valid frame,not valid frame,15,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.02,8.33,9.01,2.15,6.36,0,not valid frame,not valid frame,0,not valid frame,not valid frame,not valid frame,not valid frame,not valid frame
0.03,8.33,6.32,2.19,8.37,0,39977688,32,0,237,not valid frame,1,15278,264
0.04,8.33,6.78,2.19,8.37,0,39977688,32,0,237,not valid frame,1,15278,264
0.05,20.89,9.1,5.83,13.52,0,39977688,32,0,237,not valid frame,1,15278,264
0.07,17.87,19.48,3.1,17.54,0,39977688,32,14,237,not valid frame,1,15278,264
0.09,12.18,17.16,3.85,18.32,0,39977688,30,0,237,not valid frame,1,14878,391
0.1,12.21,12.19,4.91,12.1,0,39977688,30,0,237,not valid frame,1,14878,391
0.11,12.35,12.3,4.88,12.29,0,39977688,30,14,237,not valid frame,1,14878,391
0.12,17.2,12.33,4.87,12.32,0,39977688,30,0,237,not valid frame,1,14878,394
0.14,19.72,18.12,4.76,17.2,0,39977688,30,14,237,not valid frame,1,14878,394
0.16,17.52,19.58,5.05,19.72,0,39977688,30,14,237,not valid frame,1,14878,395
0.18,11.4,16.62,5.03,17.5,0,39977688,30,0,237,not valid frame,1,14878,395
0.19,11.29,11.38,4.63,11.32,0,39977688,30,0,237,not valid frame,1,14878,395
0.2,12.63,11.29,4.62,11.34,0,39977688,30,14,237,not valid frame,1,14878,395
0.21,19.65,13.55,4.6,12.59,0,39977688,30,14,237,not valid frame,1,14878,395
0.23,12.25,19.59,4.6,19.65,0,39977688,30,14,237,not valid frame,1,14878,395
0.24,11.62,11.41,4.69,12.26,0,39977688,30,14,237,not valid frame,1,14878,396
0.26,16.29,11.61,4.59,11.67,0,39977496,30,14,237,not valid frame,1,14878,396
0.27,19.68,17.07,4.82,16.24,0,39977112,30,0,237,not valid frame,1,14878,395
0.29,19.08,19.67,4.05,19.44,0,39976920,30,14,237,not valid frame,1,14878,395
0.31,18.94,19.12,3.26,19.54,0,39976920,30,14,237,not valid frame,1,14878,395
0.33,18.99,18.78,3.7,18.72,0,39976728,30,14,237,not valid frame,1,14878,395
0.35,12.37,19.03,4.53,18.98,0,395,30,0,237,not valid frame,1,14878,30250
0.36,12.42,11.73,4.64,12.33,0,395,30,14,237,not valid frame,1,14878,30250
0.37,25.57,14.33,8.08,12.48,0,395,30,0,237,not valid frame,1,14878,30250
0.4,17.91,24.42,5.72,25.52,0,395,30,14,237,not valid frame,1,14878,30250
0.42,19.81,17.28,4.54,18.01,0,395,30,0,237,not valid frame,1,14878,30250
0.44,13.6,20.36,5.85,19.72,0,395,30,14,237,not valid frame,1,14878,30250
0.45,11.42,12.9,4.62,13.66,0,395,30,14,237,not valid frame,1,14878,30250
0.46,11.08,11.25,4.52,11.31,0,395,30,14,237,not valid frame,1,14878,30250
0.47,11.41,11.25,4.58,11.26,0,395,30,14,237,not valid frame,1,14878,30250
0.48,12.02,11.34,4.82,11.35,0,396,30,0,237,not valid frame,1,14878,30262
0.5,16.36,12.07,8.53,11.98,0,396,30,14,237,not valid frame,1,14878,30262
0.51,18.97,17.1,4.44,16.32,0,395,30,14,237,not valid frame,1,14878,30250
0.53,19.43,19.29,4.54,18.97,0,395,30,0,237,not valid frame,1,14878,30250
0.55,15.96,19.02,4.81,19.52,0,395,30,14,237,not valid frame,1,14878,30250
0.57,11.49,15.28,4.58,15.96,0,395,30,14,237,not valid frame,1,14878,30250
0.58,11.81,11.47,4.55,11.44,0,395,30,14,237,not valid frame,1,14878,30170
0.59,22.32,12.06,4.64,11.84,0,395,30,14,237,not valid frame,1,14878,30170
0.61,15.7,22.99,6.44,22.21,0,395,30,0,237,not valid frame,1,14878,30170
0.63,11.34,14.83,4.61,15.75,0,395,30,0,237,not valid frame,1,14878,30170
0.64,11.46,11.28,4.55,11.42,0,395,30,14,237,not valid frame,1,14878,30170
0.65,11.62,11.53,4.8,11.43,0,396,30,14,237,not valid frame,1,14878,30182
0.66,11.27,11.58,4.63,11.57,0,395,30,14,237,not valid frame,1,14878,30170
0.67,11.71,11.23,4.62,11.31,0,395,30,14,237,not valid frame,1,14878,30170
0.69,11.18,11.63,4.65,11.7,0,395,30,0,237,not valid frame,1,14878,30170
0.7,11.38,11.3,4.39,11.16,0,395,30,0,237,not valid frame,1,14878,30170
0.71,11.33,11.39,4.52,11.4,0,395,30,0,237,not valid frame,1,14878,30170
0.72,11.47,11.26,4.69,11.28,0,394,30,0,237,not valid frame,1,14878,30170
0.73,11.77,11.6,4.63,11.52,0,395,30,14,237,not valid frame,1,14878,30170
0.74,11.19,11.66,4.7,11.8,0,395,30,0,237,not valid frame,1,14878,30170
0.75,11.45,11.22,4.62,11.19,0,396,30,14,237,not valid frame,1,14878,30182
0.77,11.37,11.53,4.56,11.4,0,395,30,14,237,not valid frame,1,14878,30170
0.78,11.41,11.27,4.86,12.37,0,396,30,0,237,not valid frame,1,14878,30182
0.79,11.64,11.38,4.53,10.39,0,395,30,14,237,not valid frame,1,14878,30170
0.8,11.34,11.73,4.63,11.69,0,395,30,0,237,not valid frame,1,14878,30170
0.81,11.35,11.23,4.55,11.3,0,395,30,14,237,not valid frame,1,14878,30170
0.82,11.52,11.55,4.59,11.45,0,396,30,0,237,not valid frame,1,14878,30182
0.83,11.52,11.47,4.76,11.48,0,395,30,0,237,not valid frame,1,14878,30170
0.85,11.34,11.32,4.47,11.4,0,395,30,0,237,not valid frame,1,14878,30170
0.86,11.54,11.52,4.54,11.49,0,395,30,15,237,not valid frame,1,14878,30170
0.87,11.68,11.44,4.77,11.47,0,395,30,0,237,not valid frame,1,14878,30170
0.88,11.74,11.68,4.7,11.6,0,1782672,32,0,237,not valid frame,1,15278,397
0.89,11.29,11.82,4.92,11.8,0,1782672,32,15,237,not valid frame,1,15278,397
0.9,11.86,11.37,4.7,11.28,0,1784720,32,15,237,not valid frame,1,15278,398
0.91,12.06,11.61,4.57,11.85,0,1784720,32,0,237,not valid frame,1,15278,398
0.93,12.89,12.5,4.72,12.81,0,398,32,0,237,not valid frame,1,15278,30570
0.94,11.44,12.6,4.59,12.11,0,398,32,15,237,not valid frame,1,15278,30570
0.95,11.66,11.34,4.78,11.43,0,399,32,0,237,not valid frame,1,15278,30582
0.96,13.87,11.78,4.65,11.66,0,398,32,15,237,not valid frame,1,15278,30570
0.98,19.47,14.58,4.67,13.85,0,398,32,0,237,not valid frame,1,15278,30570
1,19.24,19.61,4.58,19.42,0,398,32,14,237,not valid frame,1,15278,30570
1.02,24.26,18.31,4.56,19.21,0,396,30,0,237,not valid frame,1,14878,30182
1.04,18.94,28.45,8.24,24.4,0,396,30,0,237,not valid frame,1,14878,30182
1.06,11.71,14.84,7.81,18.97,0,396,30,0,237,not valid frame,1,14878,30182
1.07,14.35,11.54,4.63,11.69,0,396,30,14,237,not valid frame,1,14878,30182
