Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),Context,,,,,,,,
0.67,9.34,11.06,5.78,9.53,0,1388,969,157,6,1,1,60687,599042
0.68,10.84,9.46,5.51,11.05,0,1338,935,0,6,1,1,60687,598878
0.69,10.34,10.87,5.95,9.33,0,1488,1031,0,6,1,1,60687,624204
0.7,9.51,10.12,5.79,10.83,0,1488,1031,0,6,1,1,60687,624204
0.71,9.59,9.52,5.75,10.25,0,1350,939,0,6,1,1,60687,600466
0.72,9.6,9.62,5.75,9.77,0,1383,971,157,6,1,1,60687,600426
0.73,9.6,9.55,5.62,9.61,0,1335,941,157,6,1,1,60687,600266
0.74,9.61,9.54,5.64,9.28,0,1350,941,0,6,1,1,60687,600446
0.75,9.49,9.59,5.55,9.72,0,1341,941,157,6,1,1,60687,600338
0.76,9.47,9.5,5.54,9.73,0,1342,941,0,6,1,1,60687,600350
0.77,10.48,9.62,5.62,9.25,0,1336,939,0,6,1,1,60687,600300
0.78,9.78,10.55,5.66,9.94,0,1336,939,157,6,1,1,60687,600300
0.79,9.7,9.47,5.86,10.25,0,1347,939,157,6,1,1,60687,600432
0.8,9.5,9.72,5.74,9.42,0,5344496,967,0,6,1,1,60687,1390
0.81,9.51,9.44,5.96,9.92,0,1399,971,157,6,1,1,60687,620682
0.82,9.56,9.56,6.09,9.43,0,5351152,967,157,6,1,1,60687,1372
0.83,9.53,9.51,5.65,9.77,0,1534,1075,0,6,1,1,60687,792696
0.83,9.98,9.89,5.84,9.38,0,1348,941,157,6,1,1,60687,600412
0.84,9.68,9.69,5.95,10.13,0,1390,973,157,6,1,1,60687,621518
0.85,9.7,9.6,5.8,9.4,0,1347,941,0,6,1,1,60687,600398
0.86,9.43,9.57,6.48,9.88,0,1347,941,157,6,1,1,60687,600398
0.87,9.5,9.43,5.53,9.63,0,1630,1144,0,6,1,1,60687,881772
0.88,9.95,9.86,5.7,9.02,0,1350,941,0,6,1,1,60687,600434
0.89,9.91,9.9,5.79,10.18,0,1346,941,0,6,1,1,60687,600386
0.9,9.55,9.53,5.99,10.36,0,1356,941,0,6,1,1,60687,600506
0.91,9.49,9.56,5.56,8.82,0,1376,973,157,6,1,1,60687,621350
0.92,10.22,9.99,5.59,9.68,0,1339,941,0,6,1,1,60687,600302
0.93,9.66,9.81,5.46,10.29,0,1351,941,157,6,1,1,60687,600446
0.94,10.14,9.57,5.72,9.57,0,1337,939,0,6,1,1,60687,600310
0.95,9.48,9.91,6.64,9.89,0,1337,939,0,6,1,1,60687,600310
0.96,9.61,9.54,5.69,10.03,0,1344,939,157,6,1,1,60687,600394
0.97,9.57,9.5,5.69,9.19,0,1383,971,0,6,1,1,60687,600426
0.98,9.51,9.52,5.8,9.73,0,1352,941,157,6,1,1,60687,600460
0.99,9.52,9.48,5.54,9.63,0,1387,971,157,6,1,1,60687,621516
1,9.45,9.53,5.61,9.66,0,1353,939,0,6,1,1,60687,600504
1.01,9.42,9.4,5.63,9.22,0,1329,939,157,6,1,1,60687,600216
1.02,9.51,9.43,5.63,9.9,0,1389,971,157,6,1,1,60687,600500
1.03,9.53,9.52,5.62,9.31,0,1347,941,157,6,1,1,60687,600400
1.04,9.64,9.49,5.61,9.12,0,1341,939,157,6,1,1,60687,600358
1.05,9.62,9.58,5.86,9.78,0,1340,939,157,6,1,1,60687,600346
1.06,9.58,9.59,5.6,9.64,0,1385,967,157,6,1,1,60687,612834
1.07,9.53,9.55,5.92,9.35,0,1334,939,157,6,1,1,60687,600274
1.08,9.81,9.52,5.57,9.63,0,5353584,967,0,6,1,1,60687,1395
1.09,9.44,9.72,5.64,9.86,0,1344,939,0,6,1,1,60687,600394
1.1,11.29,9.47,5.73,9.86,0,1373,967,0,6,1,1,60687,612690
1.11,9.43,11.2,5.62,9.02,0,1344,939,157,6,1,1,60687,600394
1.12,9.57,9.4,5.57,11.42,0,1344,939,157,6,1,1,60687,600394
1.13,9.54,9.57,5.7,9.71,0,1342,939,157,6,1,1,60687,600370
1.13,9.51,9.45,5.71,9.84,0,1388,967,157,6,1,1,60687,612870
1.14,9.54,9.53,5.86,8.97,0,1340,939,0,6,1,1,60687,600346
1.15,9.63,9.49,5.6,9.59,0,1382,967,0,6,1,1,60687,612798
1.16,9.51,9.55,5.79,9.8,0,1336,939,158,6,1,1,60687,600298
1.17,9.75,9.68,6.39,9.17,0,1399,971,158,6,1,1,60687,621658
1.18,9.6,9.57,5.73,10.19,0,1732,1205,0,6,1,1,60687,875222
1.19,9.61,9.57,6.22,9.31,0,1369,964,0,6,1,1,60687,612428
1.2,9.4,9.48,5.84,9.76,0,1369,964,158,6,1,1,60687,612428
1.21,9.56,9.43,5.54,9.48,0,1345,940,158,6,1,1,60687,598916
1.22,9.56,9.5,5.61,9.07,0,1343,940,158,6,1,1,60687,598892
1.23,9.48,9.56,5.7,9.78,0,1344,940,0,6,1,1,60687,598904
1.24,9.88,9.46,5.86,9.8,0,1391,973,158,6,1,1,60687,621540
1.25,10.75,10.01,5.74,9.53,0,1342,940,158,6,1,1,60687,600388
1.26,9.82,10.81,5.62,9.64,0,1379,966,0,6,1,1,60687,612812
1.27,9.46,9.56,5.97,11.05,0,1400,973,158,6,1,1,60687,623026
1.28,9.59,9.47,5.75,9.64,0,1349,942,0,6,1,1,60687,600440
1.29,9.44,9.47,5.8,9.68,0,1349,942,157,6,1,1,60687,600440
1.3,9.46,9.44,5.72,9.09,0,1330,941,0,6,1,1,60687,600204
1.31,9.47,9.4,5.81,9.66,0,1349,941,157,6,1,1,60687,600432
1.32,9.54,9.53,5.79,9.59,0,1341,941,157,6,1,1,60687,600336
1.33,9.94,9.6,5.65,9.23,0,1342,941,0,6,1,1,60687,600348
