3.15,263,30,0,237,not valid frame,1,14878,17276
3.12,262,30,14,237,not valid frame,1,14878,17264
3.12,262,30,0,237,not valid frame,1,14878,17264
11.45,394,30,0,237,not valid frame,1,14878,30160
4.97,394,30,14,237,not valid frame,1,14878,30160
4.62,398,30,0,237,not valid frame,1,14878,30254
4.51,398,30,14,237,not valid frame,1,14878,30254
4.51,397,30,14,237,not valid frame,1,14878,30250
4.57,397,30,14,237,not valid frame,1,14878,30250
4.49,397,30,0,237,not valid frame,1,14878,30250
4.71,397,30,0,237,not valid frame,1,14878,30250
4.7,397,30,0,237,not valid frame,1,14878,30250
4.43,397,30,0,237,not valid frame,1,14878,30262
4.47,396,30,14,237,not valid frame,1,14878,30250
5.99,396,30,0,237,not valid frame,1,14878,30250
7.93,396,30,14,237,not valid frame,1,14878,30250
3.87,398,30,0,237,not valid frame,1,14878,30182
5.84,398,30,0,237,not valid frame,1,14878,30182
4.51,396,30,0,237,not valid frame,1,14878,30170
4.68,396,30,14,237,not valid frame,1,14878,30170
4.57,396,30,14,237,not valid frame,1,14878,30170
4.47,396,30,14,237,not valid frame,1,14878,30170
4.68,396,30,0,237,not valid frame,1,14878,30170
4.56,396,30,14,237,not valid frame,1,14878,30170
4.53,396,30,14,237,not valid frame,1,14878,30170
4.6,396,30,14,237,not valid frame,1,14878,30170
5.15,396,30,0,237,not valid frame,1,14878,30250
4.49,396,30,0,237,not valid frame,1,14878,30170
4.96,396,30,14,237,not valid frame,1,14878,30170
4.65,397,30,14,237,not valid frame,1,14878,30170
5.23,397,30,15,237,not valid frame,1,14878,30170
4.76,397,30,0,237,not valid frame,1,14878,30170
4.47,751504,32,0,237,not valid frame,1,15278,400
4.56,397,30,14,237,not valid frame,1,14878,30182
4.6,397,30,14,237,not valid frame,1,14878,30182
4.52,397,30,14,237,not valid frame,1,14878,30182
4.6,397,30,14,237,not valid frame,1,14878,30182
4.54,397,30,0,237,not valid frame,1,14878,30182
4.59,397,30,0,237,not valid frame,1,14878,30182
3.85,397,30,0,237,not valid frame,1,14878,30182
3.18,397,30,0,237,not valid frame,1,14878,30182
3.16,397,30,14,237,not valid frame,1,14878,30182
4.47,397,30,0,237,not valid frame,1,14878,30182
4.46,396,30,14,237,not valid frame,1,14878,30182
4.56,396,30,14,237,not valid frame,1,14878,30182
4.69,396,30,14,237,not valid frame,1,14878,30182
3.9,396,30,0,237,not valid frame,1,14878,30182
4.47,397,30,14,237,not valid frame,1,14878,30194
4.78,396,30,0,237,not valid frame,1,14878,30182
4.49,396,30,14,237,not valid frame,1,14878,30170
4.83,396,30,14,237,not valid frame,1,14878,30170
3.79,396,30,0,237,not valid frame,1,14878,30170
3.08,396,30,0,237,not valid frame,1,14878,30170
4.59,394,28,0,237,not valid frame,1,14854,30146
3.79,395,28,12,237,not valid frame,1,14854,30158
4.59,395,28,12,237,not valid frame,1,14854,30158
