Timestamp=ms,GPU temperature=°C,GPU usage=%,Memory usage=MB,Core clock=MHz,Memory clock=MHz,Power=W,CPU1 temperature=°C,CPU1 usage=%,CPU2 usage=%,CPU3 usage=%,CPU4 usage=%,CPU5 usage=%,CPU6 usage=%,CPU7 usage=%,CPU8 usage=%,CPU9 usage=%,CPU10 usage=%,CPU11 usage=%,CPU12 usage=%,CPU13 usage=%,CPU14 usage=%,CPU15 usage=%,CPU16 usage=%,CPU usage=%,CPU1 clock=MHz,CPU2 clock=MHz,CPU3 clock=MHz,CPU4 clock=MHz,CPU5 clock=MHz,CPU6 clock=MHz,CPU7 clock=MHz,CPU8 clock=MHz,CPU9 clock=MHz,CPU10 clock=MHz,CPU11 clock=MHz,CPU12 clock=MHz,CPU13 clock=MHz,CPU14 clock=MHz,CPU15 clock=MHz,CPU16 clock=MHz,CPU clock=MHz,RAM usage=MB,Framerate=FPS,Frametime=ms
0,48,0,5985.145,27,167,5,64.5,4.687502,1.562502,12.5,21.875,1.562502,4.687502,12.5,1.562502,20.3125,29.6875,4.687502,1.562502,1.562502,21.875,3.125002,2.235174E-06,8.984377,2062.5,2062.5,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,7213,0,0
304,48,0,5985.145,27,167,5,64.5,4.687502,1.562502,12.5,21.875,1.562502,4.687502,12.5,1.562502,20.3125,29.6875,4.687502,1.562502,1.562502,21.875,3.125002,2.235174E-06,8.984377,2062.5,2062.5,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,7213,0,0
611,48,0,5985.145,27,167,5,64.5,4.687502,1.562502,12.5,21.875,1.562502,4.687502,12.5,1.562502,20.3125,29.6875,4.687502,1.562502,1.562502,21.875,3.125002,2.235174E-06,8.984377,2062.5,2062.5,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,7213,0,0
922,48,0,5849.777,36,167,6,64.125,6.250002,26.5625,17.1875,14.0625,7.812502,3.125002,6.250002,1.562502,29.6875,9.375002,3.125002,1.562502,10.9375,17.1875,1.562502,17.1875,10.83984,2200,2200,2200,2200,2200,2200,2200,2200,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,7218,0,0
1228,48,0,5849.777,36,167,6,64.125,6.250002,26.5625,17.1875,14.0625,7.812502,3.125002,6.250002,1.562502,29.6875,9.375002,3.125002,1.562502,10.9375,17.1875,1.562502,17.1875,10.83984,2200,2200,2200,2200,2200,2200,2200,2200,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,7218,0,0
1535,48,0,5849.777,36,167,6,64.125,6.250002,26.5625,17.1875,14.0625,7.812502,3.125002,6.250002,1.562502,29.6875,9.375002,3.125002,1.562502,10.9375,17.1875,1.562502,17.1875,10.83984,2200,2200,2200,2200,2200,2200,2200,2200,4125,4125,2062.5,2062.5,2062.5,2062.5,2062.5,2062.5,4125,7218,0,0
1841,48,3,5849.184,594,800,15,63.875,3.125002,7.812502,9.375002,9.375002,14.0625,9.375002,12.5,14.0625,10.9375,6.250002,17.1875,4.687502,3.125002,15.625,7.812502,12.5,9.863282,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,4175,4175,2087.5,2087.5,4175,7222,0,0
2146,48,3,5849.184,594,800,15,63.875,3.125002,7.812502,9.375002,9.375002,14.0625,9.375002,12.5,14.0625,10.9375,6.250002,17.1875,4.687502,3.125002,15.625,7.812502,12.5,9.863282,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,4175,4175,2087.5,2087.5,4175,7222,0,0
2457,48,3,5849.184,594,800,15,63.875,3.125002,7.812502,9.375002,9.375002,14.0625,9.375002,12.5,14.0625,10.9375,6.250002,17.1875,4.687502,3.125002,15.625,7.812502,12.5,9.863282,4175,4175,2087.5,2087.5,4175,4175,2087.5,2087.5,2087.5,2087.5,2087.5,2087.5,4175,4175,2087.5,2087.5,4175,7222,0,0
2766,54,0,5869.309,1358,945,241,62.375,28.125,2.235174E-06,20.3125,3.125002,14.0625,3.125002,12.5,3.125002,10.9375,4.687502,12.5,3.125002,10.9375,20.3125,7.812502,32.8125,11.71875,4125,4125,4125,4125,2062.5,2062.5,2062.5,2062.5,4125,4125,2062.5,2062.5,4125,4125,4125,4125,4125,7216,1.1,52136.75
